tier,conversation_id,message_id,occurrence_count,distinct_role_content_payloads,identical_role_content,roles,payload_sha256s,json_paths,content_lengths,first_content_sha256
1M,26,0,2,2,False,"[""user"", ""user""]","[""2e63285caa8d70c3c2160915289659a71c4498d2c1d55eab8b0645eb6af873f8"", ""889e80f72a6b7ffbd4d96081e33a6c89779393112dff39e78a61b11e8c7b9dbc""]","[[0, ""turns"", 0, 0], [8, ""turns"", 0, 0]]","[152, 142]",9e54085f36ba3941adbd6c9de78155ab86d805135765ccc4c0240eb6530110ed
1M,26,1,2,2,False,"[""assistant"", ""assistant""]","[""da63d4a826aa41e6514c74c5a3f8b3831ac51e1bc2dd1e1796cd9e859a3e2556"", ""50266579d6af3d16444456f47f7bc7a5c9445d571a4d02b2b5233bbff77e32f5""]","[[0, ""turns"", 0, 1], [8, ""turns"", 0, 1]]","[2679, 2158]",5f37a9caabd17395712b60f3f47897305a51495c48d8ed072549c359b067ee5a
1M,26,2,2,2,False,"[""user"", ""user""]","[""61f61413cfe160e52fc337b74125a0d4b7ea2d11b3b414ca6a372db810963ce6"", ""2074d937b83d5663d0d2da0ea9b1de8429ac8aae11f05b98e5c100cf604ffccd""]","[[0, ""turns"", 1, 0], [8, ""turns"", 1, 0]]","[129, 189]",49f809281b689d9720eab1def48c2f0c2df92ad4af6f96852967c588ed401e2b
1M,26,3,2,2,False,"[""assistant"", ""assistant""]","[""fa0942074728178f9f6945fdd79762d20f9b8eca3fe7a4a293b6fc8ae26fa511"", ""057c65024965b94a0b5428fa5ba0cf61ac3ff3bdfc4398465002905c82815570""]","[[0, ""turns"", 1, 1], [8, ""turns"", 1, 1]]","[2619, 2599]",728c677ccd1dbda545aa6b0a9f97bac6c37d3e02dfc324b729db2f151b61a8c5
1M,26,4,2,2,False,"[""user"", ""user""]","[""cfdf13b882d21f8600ca3a8eeaca1808e7c15831c2bd3e652f381598dbc7632d"", ""6354d15ad649c66613c6749ed87d5f7e065a0ea3690aa20a8d84fd1864af9dcc""]","[[0, ""turns"", 1, 2], [8, ""turns"", 2, 0]]","[150, 175]",3e03a347b74f0cd7e13d4c7fe128c4cff26c191b4eb407a3ec27cb2762b66cc9
1M,26,5,2,2,False,"[""assistant"", ""assistant""]","[""529f12d3b84f5d7283ba184be3235826ed45f63840bf431effe871fe8c83d7f0"", ""4d72cade7b875dc0cb9e3b61422ea8e2cd8a3dcb4743c72eb43166cc7a4ab57a""]","[[0, ""turns"", 1, 3], [8, ""turns"", 2, 1]]","[3384, 3206]",3e20bbf44ac7006a8f31bc3511d7b48052c252e70c89675e938d509764a790cf
1M,26,6,2,2,False,"[""user"", ""user""]","[""8e79215bcca5cd6de2606858f226b546ee6622f9c36b23ac2235296c93a0f380"", ""a581cc503ba311aa551255f9f3d9dfd74639a8637fb8db215ed6a3f8da6038f5""]","[[0, ""turns"", 1, 4], [8, ""turns"", 3, 0]]","[222, 189]",1f0cdbfbffbbbbb80343c200bd996dcd20a4e3decd5ccb93d3c0b44e4c43f457
1M,26,7,2,2,False,"[""assistant"", ""assistant""]","[""820a4d46b25a138e634e89d56794de25b55e298222810e3c9e48b92e1efba77e"", ""75951e9d45e986d3dcc31cbb32dbbf1891652488db70b5bb9a2c15735e9dee1a""]","[[0, ""turns"", 1, 5], [8, ""turns"", 3, 1]]","[3168, 3855]",7bb8cd333bedce2af6da5580415e091552321c5c484221da85111764578ed0c0
1M,26,8,2,2,False,"[""user"", ""user""]","[""31325cf077c7300b2fdf95b364e8df6eac6d38779e83ff81b85a26f86a772f3e"", ""9baf06ad85241ea809d93b134c76d4a47bccccd96195505e8cb1935f062ff804""]","[[0, ""turns"", 2, 0], [8, ""turns"", 4, 0]]","[134, 181]",3286434289c961c199e5172f3f0ccd173c358f6921a4513aae23832e8b6ebbbe
1M,26,9,2,2,False,"[""assistant"", ""assistant""]","[""bbcaf58f083d79f56946e7c2268875c3aadda25e98467d510c5edeeb99a19493"", ""d0384cd4767021e1c0e0a2bdaadd9d7c25e42a6a90be56b03fa6d3f37719c789""]","[[0, ""turns"", 2, 1], [8, ""turns"", 4, 1]]","[3911, 5372]",a2c90a9eaff4a55fa6caf51890b187e35182765fe1516761223b09df7cbcf905
1M,26,10,2,2,False,"[""user"", ""user""]","[""afbc7a993cef7c65d6a11642d4b6617e39c40a6e6cbb8e7d23924ff0988ade89"", ""80c9b14a897e7d73b20c651df4ca9c9b05fe68deb0c9d7988209ada4bd6534b2""]","[[0, ""turns"", 2, 2], [8, ""turns"", 5, 0]]","[226, 188]",ae269abd09a356ef53cda5787dd7673419ca6f048937940423193145aa874ffc
1M,26,11,2,2,False,"[""assistant"", ""assistant""]","[""7db150d3a5492e09410e1e1e5c07dfec9c8fafe8c43fbcfc2f10ee1abe8c1b60"", ""eddd47d209a1ea2b3d069db2a056717254b74716bc49e8f1f7563c12004a8210""]","[[0, ""turns"", 2, 3], [8, ""turns"", 5, 1]]","[2712, 4652]",9cea443d944c59cc5d3a97447b5338996d2bb56193327a9b9bb5dc8505355a66
1M,26,12,2,2,False,"[""user"", ""user""]","[""75ddd5b4b013198e2860a64b37faf86e449a3400c35908675ea4b79ab86e0a9a"", ""167b0c7d68cd8affa7b7e0da07fb91adc73605d24c6474e39f8f7474be347290""]","[[0, ""turns"", 3, 0], [8, ""turns"", 6, 0]]","[106, 173]",b94324ff87ddaf44118ab7d636556d47edc8690e823758d2c614e619e46bc1d1
1M,26,13,2,2,False,"[""assistant"", ""assistant""]","[""aa3f0fd0d3e71ec8861a36c63627251f9fccdfcc65c9604950d3f5d304e6e5fe"", ""dc44c1cc203b0161e2b95ab7cb56cd13491afc75bd7d5b378d4e0b5506f3611c""]","[[0, ""turns"", 3, 1], [8, ""turns"", 6, 1]]","[4340, 4494]",be489c7c4dabf9386fe9925e32b7f9d09d48302f9a0e200508dfcc30b8339bb3
1M,26,14,2,2,False,"[""user"", ""user""]","[""9b868662f209863ce4c743586787a6d78964b0e664492a8cf2bfb2c4f785c50f"", ""967e7ecce5c76ffabadc6a428ee7bbbc6ee615c146b591df4ea05c488dfa56a0""]","[[0, ""turns"", 3, 2], [8, ""turns"", 7, 0]]","[258, 186]",a83646f17f16f1403045dfedeadad9c5aae52b9cd95ef898268d92c6b01c5026
