raw_message_id,occurrence_count,sample_locations
0,104,"[""100K::1::msg:0"", ""100K::2::msg:0"", ""100K::3::msg:0"", ""100K::4::msg:0"", ""100K::5::msg:0"", ""100K::6::msg:0"", ""100K::7::msg:0"", ""100K::8::msg:0"", ""100K::9::msg:0"", ""100K::10::msg:0"", ""100K::11::msg:0"", ""100K::12::msg:0"", ""100K::13::msg:0"", ""100K::14::msg:0"", ""100K::15::msg:0"", ""100K::16::msg:0"", ""100K::17::msg:0"", ""100K::18::msg:0"", ""100K::19::msg:0"", ""100K::20::msg:0""]"
1,104,"[""100K::1::msg:1"", ""100K::2::msg:1"", ""100K::3::msg:1"", ""100K::4::msg:1"", ""100K::5::msg:1"", ""100K::6::msg:1"", ""100K::7::msg:1"", ""100K::8::msg:1"", ""100K::9::msg:1"", ""100K::10::msg:1"", ""100K::11::msg:1"", ""100K::12::msg:1"", ""100K::13::msg:1"", ""100K::14::msg:1"", ""100K::15::msg:1"", ""100K::16::msg:1"", ""100K::17::msg:1"", ""100K::18::msg:1"", ""100K::19::msg:1"", ""100K::20::msg:1""]"
2,104,"[""100K::1::msg:2"", ""100K::2::msg:2"", ""100K::3::msg:2"", ""100K::4::msg:2"", ""100K::5::msg:2"", ""100K::6::msg:2"", ""100K::7::msg:2"", ""100K::8::msg:2"", ""100K::9::msg:2"", ""100K::10::msg:2"", ""100K::11::msg:2"", ""100K::12::msg:2"", ""100K::13::msg:2"", ""100K::14::msg:2"", ""100K::15::msg:2"", ""100K::16::msg:2"", ""100K::17::msg:2"", ""100K::18::msg:2"", ""100K::19::msg:2"", ""100K::20::msg:2""]"
3,104,"[""100K::1::msg:3"", ""100K::2::msg:3"", ""100K::3::msg:3"", ""100K::4::msg:3"", ""100K::5::msg:3"", ""100K::6::msg:3"", ""100K::7::msg:3"", ""100K::8::msg:3"", ""100K::9::msg:3"", ""100K::10::msg:3"", ""100K::11::msg:3"", ""100K::12::msg:3"", ""100K::13::msg:3"", ""100K::14::msg:3"", ""100K::15::msg:3"", ""100K::16::msg:3"", ""100K::17::msg:3"", ""100K::18::msg:3"", ""100K::19::msg:3"", ""100K::20::msg:3""]"
4,104,"[""100K::1::msg:4"", ""100K::2::msg:4"", ""100K::3::msg:4"", ""100K::4::msg:4"", ""100K::5::msg:4"", ""100K::6::msg:4"", ""100K::7::msg:4"", ""100K::8::msg:4"", ""100K::9::msg:4"", ""100K::10::msg:4"", ""100K::11::msg:4"", ""100K::12::msg:4"", ""100K::13::msg:4"", ""100K::14::msg:4"", ""100K::15::msg:4"", ""100K::16::msg:4"", ""100K::17::msg:4"", ""100K::18::msg:4"", ""100K::19::msg:4"", ""100K::20::msg:4""]"
5,104,"[""100K::1::msg:5"", ""100K::2::msg:5"", ""100K::3::msg:5"", ""100K::4::msg:5"", ""100K::5::msg:5"", ""100K::6::msg:5"", ""100K::7::msg:5"", ""100K::8::msg:5"", ""100K::9::msg:5"", ""100K::10::msg:5"", ""100K::11::msg:5"", ""100K::12::msg:5"", ""100K::13::msg:5"", ""100K::14::msg:5"", ""100K::15::msg:5"", ""100K::16::msg:5"", ""100K::17::msg:5"", ""100K::18::msg:5"", ""100K::19::msg:5"", ""100K::20::msg:5""]"
6,104,"[""100K::1::msg:6"", ""100K::2::msg:6"", ""100K::3::msg:6"", ""100K::4::msg:6"", ""100K::5::msg:6"", ""100K::6::msg:6"", ""100K::7::msg:6"", ""100K::8::msg:6"", ""100K::9::msg:6"", ""100K::10::msg:6"", ""100K::11::msg:6"", ""100K::12::msg:6"", ""100K::13::msg:6"", ""100K::14::msg:6"", ""100K::15::msg:6"", ""100K::16::msg:6"", ""100K::17::msg:6"", ""100K::18::msg:6"", ""100K::19::msg:6"", ""100K::20::msg:6""]"
7,104,"[""100K::1::msg:7"", ""100K::2::msg:7"", ""100K::3::msg:7"", ""100K::4::msg:7"", ""100K::5::msg:7"", ""100K::6::msg:7"", ""100K::7::msg:7"", ""100K::8::msg:7"", ""100K::9::msg:7"", ""100K::10::msg:7"", ""100K::11::msg:7"", ""100K::12::msg:7"", ""100K::13::msg:7"", ""100K::14::msg:7"", ""100K::15::msg:7"", ""100K::16::msg:7"", ""100K::17::msg:7"", ""100K::18::msg:7"", ""100K::19::msg:7"", ""100K::20::msg:7""]"
8,104,"[""100K::1::msg:8"", ""100K::2::msg:8"", ""100K::3::msg:8"", ""100K::4::msg:8"", ""100K::5::msg:8"", ""100K::6::msg:8"", ""100K::7::msg:8"", ""100K::8::msg:8"", ""100K::9::msg:8"", ""100K::10::msg:8"", ""100K::11::msg:8"", ""100K::12::msg:8"", ""100K::13::msg:8"", ""100K::14::msg:8"", ""100K::15::msg:8"", ""100K::16::msg:8"", ""100K::17::msg:8"", ""100K::18::msg:8"", ""100K::19::msg:8"", ""100K::20::msg:8""]"
9,104,"[""100K::1::msg:9"", ""100K::2::msg:9"", ""100K::3::msg:9"", ""100K::4::msg:9"", ""100K::5::msg:9"", ""100K::6::msg:9"", ""100K::7::msg:9"", ""100K::8::msg:9"", ""100K::9::msg:9"", ""100K::10::msg:9"", ""100K::11::msg:9"", ""100K::12::msg:9"", ""100K::13::msg:9"", ""100K::14::msg:9"", ""100K::15::msg:9"", ""100K::16::msg:9"", ""100K::17::msg:9"", ""100K::18::msg:9"", ""100K::19::msg:9"", ""100K::20::msg:9""]"
10,104,"[""100K::1::msg:10"", ""100K::2::msg:10"", ""100K::3::msg:10"", ""100K::4::msg:10"", ""100K::5::msg:10"", ""100K::6::msg:10"", ""100K::7::msg:10"", ""100K::8::msg:10"", ""100K::9::msg:10"", ""100K::10::msg:10"", ""100K::11::msg:10"", ""100K::12::msg:10"", ""100K::13::msg:10"", ""100K::14::msg:10"", ""100K::15::msg:10"", ""100K::16::msg:10"", ""100K::17::msg:10"", ""100K::18::msg:10"", ""100K::19::msg:10"", ""100K::20::msg:10""]"
11,104,"[""100K::1::msg:11"", ""100K::2::msg:11"", ""100K::3::msg:11"", ""100K::4::msg:11"", ""100K::5::msg:11"", ""100K::6::msg:11"", ""100K::7::msg:11"", ""100K::8::msg:11"", ""100K::9::msg:11"", ""100K::10::msg:11"", ""100K::11::msg:11"", ""100K::12::msg:11"", ""100K::13::msg:11"", ""100K::14::msg:11"", ""100K::15::msg:11"", ""100K::16::msg:11"", ""100K::17::msg:11"", ""100K::18::msg:11"", ""100K::19::msg:11"", ""100K::20::msg:11""]"
12,104,"[""100K::1::msg:12"", ""100K::2::msg:12"", ""100K::3::msg:12"", ""100K::4::msg:12"", ""100K::5::msg:12"", ""100K::6::msg:12"", ""100K::7::msg:12"", ""100K::8::msg:12"", ""100K::9::msg:12"", ""100K::10::msg:12"", ""100K::11::msg:12"", ""100K::12::msg:12"", ""100K::13::msg:12"", ""100K::14::msg:12"", ""100K::15::msg:12"", ""100K::16::msg:12"", ""100K::17::msg:12"", ""100K::18::msg:12"", ""100K::19::msg:12"", ""100K::20::msg:12""]"
13,104,"[""100K::1::msg:13"", ""100K::2::msg:13"", ""100K::3::msg:13"", ""100K::4::msg:13"", ""100K::5::msg:13"", ""100K::6::msg:13"", ""100K::7::msg:13"", ""100K::8::msg:13"", ""100K::9::msg:13"", ""100K::10::msg:13"", ""100K::11::msg:13"", ""100K::12::msg:13"", ""100K::13::msg:13"", ""100K::14::msg:13"", ""100K::15::msg:13"", ""100K::16::msg:13"", ""100K::17::msg:13"", ""100K::18::msg:13"", ""100K::19::msg:13"", ""100K::20::msg:13""]"
14,104,"[""100K::1::msg:14"", ""100K::2::msg:14"", ""100K::3::msg:14"", ""100K::4::msg:14"", ""100K::5::msg:14"", ""100K::6::msg:14"", ""100K::7::msg:14"", ""100K::8::msg:14"", ""100K::9::msg:14"", ""100K::10::msg:14"", ""100K::11::msg:14"", ""100K::12::msg:14"", ""100K::13::msg:14"", ""100K::14::msg:14"", ""100K::15::msg:14"", ""100K::16::msg:14"", ""100K::17::msg:14"", ""100K::18::msg:14"", ""100K::19::msg:14"", ""100K::20::msg:14""]"
