"gold_source_unit_count","eligible_questions","all_at_3_structurally_possible"
"1","410","True"
"2","506","True"
"3","209","True"
"4","113","False"
"5","98","False"
"6","64","False"
"7","25","False"
"8","24","False"
"9","17","False"
"10","31","False"
"11","16","False"
"12","15","False"
"13","12","False"
"14","11","False"
"15","9","False"
"16","12","False"
"17","5","False"
"18","5","False"
"19","9","False"
"20","8","False"
"21","6","False"
"22","4","False"
"23","3","False"
"24","3","False"
"25","4","False"
"26","11","False"
"27","7","False"
"28","9","False"
"29","6","False"
"30","6","False"
"31","2","False"
"32","3","False"
"33","5","False"
"34","6","False"
"35","4","False"
"36","2","False"
"38","3","False"
"39","1","False"
"40","1","False"
"41","1","False"
"42","2","False"
"43","1","False"
"44","1","False"
"47","2","False"
"48","1","False"
"49","1","False"
"50","2","False"
"54","1","False"
"56","1","False"
"64","1","False"
"66","2","False"
"67","2","False"
"69","1","False"
"70","1","False"
"71","1","False"
"75","1","False"
"79","1","False"
"83","1","False"
"84","1","False"
"92","1","False"
"96","1","False"
