distribution,n,data_seed,initialization_seed,iteration,objective_before,objective_after_procrustes_fixed_B,objective_after_sign,relative_change,stable_steps,binary_entries_changed,cross_min_singular_value
gaussian,100,5212100,7312001,1,0.40303494737337664,0.18784896076025348,0.18232507275031604,0.5476196941765256,0,104,0.06390568165549554
gaussian,100,5212100,7312001,2,0.18232507275031604,0.1614136113101518,0.16102310078012952,0.11683512118686153,0,20,0.07697547262888657
gaussian,100,5212100,7312001,3,0.16102310078012952,0.15682926390466848,0.15673197263685756,0.02664914613171756,0,6,0.0272921623770353
gaussian,100,5212100,7312001,4,0.15673197263685756,0.1554655543218334,0.15542067655667818,0.008366487437873363,0,4,0.06404233132587445
gaussian,100,5212100,7312001,5,0.15542067655667818,0.15466034591103578,0.15465709513417122,0.004912997674595114,0,1,0.01819607899529623
gaussian,100,5212100,7312001,6,0.15465709513417122,0.15444087334881323,0.15444087334881323,0.0013980722007639447,0,0,0.017493735197976923
gaussian,100,5212100,7312001,7,0.15444087334881323,0.15444087334881323,0.15444087334881323,0.0,1,0,0.017493735197976923
gaussian,100,5212100,7312001,8,0.15444087334881323,0.15444087334881323,0.15444087334881323,0.0,2,0,0.017493735197976923
gaussian,100,5212100,7312001,9,0.15444087334881323,0.15444087334881323,0.15444087334881323,0.0,3,0,0.017493735197976923
gaussian,100,5212100,7312001,10,0.15444087334881323,0.15444087334881323,0.15444087334881323,0.0,4,0,0.017493735197976923
gaussian,100,5212100,7312001,11,0.15444087334881323,0.15444087334881323,0.15444087334881323,0.0,5,0,0.017493735197976923
gaussian,100,5212100,7312002,1,0.4016034661610799,0.18566816325937455,0.1803511427056479,0.550922345293428,0,106,0.027833948427935604
gaussian,100,5212100,7312002,2,0.1803511427056479,0.1597754261454125,0.15911148756224117,0.11776834249435329,0,25,0.09007138356090322
gaussian,100,5212100,7312002,3,0.15911148756224117,0.15385931643165018,0.15383946711283353,0.033134128340955464,0,4,0.06853605167865968
gaussian,100,5212100,7312002,4,0.15383946711283353,0.15292386737902197,0.1529031998583756,0.006086001674532665,0,3,0.027899636000650693
gaussian,100,5212100,7312002,5,0.1529031998583756,0.15218345965856897,0.15216060502016143,0.0048566337323352,0,3,0.01866722655035307
gaussian,100,5212100,7312002,6,0.15216060502016143,0.15147328264413829,0.1514371561688984,0.004754508245857476,0,3,0.007570914860696604
gaussian,100,5212100,7312002,7,0.1514371561688984,0.15079897462780015,0.1507886129526095,0.004282589773183421,0,1,0.019894403651540358
gaussian,100,5212100,7312002,8,0.1507886129526095,0.15055844165460905,0.15055844165460905,0.001526450131037402,0,0,0.013885465736605693
gaussian,100,5212100,7312002,9,0.15055844165460905,0.15055844165460905,0.15055844165460905,0.0,1,0,0.013885465736605693
gaussian,100,5212100,7312002,10,0.15055844165460905,0.15055844165460905,0.15055844165460905,0.0,2,0,0.013885465736605693
gaussian,100,5212100,7312002,11,0.15055844165460905,0.15055844165460905,0.15055844165460905,0.0,3,0,0.013885465736605693
gaussian,100,5212100,7312002,12,0.15055844165460905,0.15055844165460905,0.15055844165460905,0.0,4,0,0.013885465736605693
gaussian,100,5212100,7312002,13,0.15055844165460905,0.15055844165460905,0.15055844165460905,0.0,5,0,0.013885465736605693
gaussian,100,5212100,7312003,1,0.40639682355353274,0.1952505523746011,0.18843743973072563,0.5363215733749365,0,126,0.0841262358340682
gaussian,100,5212100,7312003,2,0.18843743973072563,0.16213088004390286,0.16144895516204966,0.14322251781409326,0,30,0.1542080144553435
gaussian,100,5212100,7312003,3,0.16144895516204966,0.1550909318765807,0.15498196658724864,0.04005593327197422,0,7,0.08436650023156561
gaussian,100,5212100,7312003,4,0.15498196658724864,0.15356077461341958,0.1534517108175484,0.009873766628446773,0,5,0.10098970632507949
gaussian,100,5212100,7312003,5,0.1534517108175484,0.15228631720411137,0.15228191163956062,0.00762323972639616,0,2,0.174061686762204
gaussian,100,5212100,7312003,6,0.15228191163956062,0.1518620825260518,0.15185614026705263,0.0027959418681041755,0,3,0.17879152315810765
gaussian,100,5212100,7312003,7,0.15185614026705263,0.15125565608146144,0.15122688376352306,0.004143767268303869,0,3,0.1736693813046912
gaussian,100,5212100,7312003,8,0.15122688376352306,0.15061876785221778,0.15053534900649918,0.0045728295116181225,0,3,0.23341496845983128
gaussian,100,5212100,7312003,9,0.15053534900649918,0.1498725362744881,0.14985983749582737,0.00448739458957667,0,1,0.19182768265295141
gaussian,100,5212100,7312003,10,0.14985983749582737,0.14965765593622257,0.149652671395662,0.0013823990712064722,0,2,0.20750988483797742
gaussian,100,5212100,7312003,11,0.149652671395662,0.14921456997334212,0.14921456997334212,0.0029274547405945548,0,0,0.19182332701411675
gaussian,100,5212100,7312003,12,0.14921456997334212,0.14921456997334212,0.14921456997334212,0.0,1,0,0.19182332701411675
gaussian,100,5212100,7312003,13,0.14921456997334212,0.14921456997334212,0.14921456997334212,0.0,2,0,0.19182332701411675
gaussian,100,5212100,7312003,14,0.14921456997334212,0.14921456997334212,0.14921456997334212,0.0,3,0,0.19182332701411675
gaussian,100,5212100,7312003,15,0.14921456997334212,0.14921456997334212,0.14921456997334212,0.0,4,0,0.19182332701411675
gaussian,100,5212100,7312003,16,0.14921456997334212,0.14921456997334212,0.14921456997334212,0.0,5,0,0.19182332701411675
gaussian,100,5212100,7312004,1,0.407103966811144,0.1854692032910141,0.17886532122592622,0.5606396994188415,0,109,0.007971842053790111
gaussian,100,5212100,7312004,2,0.17886532122592622,0.15695202425522578,0.15651386207126455,0.12496250811206358,0,25,0.018559021327761785
gaussian,100,5212100,7312004,3,0.15651386207126455,0.15131936966342532,0.15121431866881707,0.03385989798165271,0,8,0.06421908982105297
gaussian,100,5212100,7312004,4,0.15121431866881707,0.14955458937773508,0.14952159803940887,0.01119418216680606,0,5,0.038771541535226904
gaussian,100,5212100,7312004,5,0.14952159803940887,0.14847727610994094,0.14846969680482022,0.007035112307396569,0,1,0.07276043124073009
gaussian,100,5212100,7312004,6,0.14846969680482022,0.14822565866096155,0.14822565866096155,0.0016436899186201745,0,0,0.07913072658476135
gaussian,100,5212100,7312004,7,0.14822565866096155,0.14822565866096155,0.14822565866096155,0.0,1,0,0.07913072658476135
gaussian,100,5212100,7312004,8,0.14822565866096155,0.14822565866096155,0.14822565866096155,0.0,2,0,0.07913072658476135
gaussian,100,5212100,7312004,9,0.14822565866096155,0.14822565866096155,0.14822565866096155,0.0,3,0,0.07913072658476135
gaussian,100,5212100,7312004,10,0.14822565866096155,0.14822565866096155,0.14822565866096155,0.0,4,0,0.07913072658476135
gaussian,100,5212100,7312004,11,0.14822565866096155,0.14822565866096155,0.14822565866096155,0.0,5,0,0.07913072658476135
gaussian,100,5212100,7312005,1,0.396873375381025,0.18407575619621389,0.17894015582509581,0.5491253207567747,0,93,0.025415637235886933
gaussian,100,5212100,7312005,2,0.17894015582509581,0.15854425412879003,0.15789962001902583,0.11758420411031695,0,25,0.052577991045881144
gaussian,100,5212100,7312005,3,0.15789962001902583,0.15254430310089187,0.15236275751297457,0.035065711401864715,0,13,0.06900454406159234
gaussian,100,5212100,7312005,4,0.15236275751297457,0.14954208421016765,0.1494788082199412,0.018928177332231514,0,5,0.05805215041837499
gaussian,100,5212100,7312005,5,0.1494788082199412,0.14834515600906503,0.1483140880172815,0.007791875092728517,0,4,0.06780061442446325
gaussian,100,5212100,7312005,6,0.1483140880172815,0.1474138315034896,0.14739950746067712,0.006166511683622431,0,3,0.05914070341257046
gaussian,100,5212100,7312005,7,0.14739950746067712,0.14674846590926932,0.1467374986299103,0.004491255379149874,0,1,0.036082961711357275
gaussian,100,5212100,7312005,8,0.1467374986299103,0.14647231793750892,0.1464651935077713,0.0018557296170477048,0,1,0.022985952681039597
gaussian,100,5212100,7312005,9,0.1464651935077713,0.14627811381463843,0.14627811381463843,0.0012772979617368073,0,0,0.002120691485721435
gaussian,100,5212100,7312005,10,0.14627811381463843,0.14627811381463843,0.14627811381463843,0.0,1,0,0.002120691485721435
gaussian,100,5212100,7312005,11,0.14627811381463843,0.14627811381463843,0.14627811381463843,0.0,2,0,0.002120691485721435
gaussian,100,5212100,7312005,12,0.14627811381463843,0.14627811381463843,0.14627811381463843,0.0,3,0,0.002120691485721435
gaussian,100,5212100,7312005,13,0.14627811381463843,0.14627811381463843,0.14627811381463843,0.0,4,0,0.002120691485721435
gaussian,100,5212100,7312005,14,0.14627811381463843,0.14627811381463843,0.14627811381463843,0.0,5,0,0.002120691485721435
gaussian,100,5212100,7312006,1,0.4035086107649037,0.19144348125825184,0.186327201339369,0.5382324035510389,0,111,0.04515351034171576
gaussian,100,5212100,7312006,2,0.186327201339369,0.1639089867171106,0.16341584194161807,0.12296304153692027,0,23,0.06579003614850329
gaussian,100,5212100,7312006,3,0.16341584194161807,0.15831698367473318,0.15825766283764775,0.03156474331180895,0,9,0.19728370399114437
gaussian,100,5212100,7312006,4,0.15825766283764775,0.15645964306212995,0.156439867902002,0.011486299639787841,0,4,0.21719707592236429
gaussian,100,5212100,7312006,5,0.156439867902002,0.15559830253616042,0.15558435122395187,0.005468661470527846,0,3,0.28827065699438315
gaussian,100,5212100,7312006,6,0.15558435122395187,0.15493612647729732,0.15492001169120692,0.004269963704695975,0,3,0.2751597795996806
gaussian,100,5212100,7312006,7,0.15492001169120692,0.1543074481388743,0.1543074481388743,0.0039540634269614044,0,0,0.28451888229070676
gaussian,100,5212100,7312006,8,0.1543074481388743,0.1543074481388743,0.1543074481388743,0.0,1,0,0.28451888229070676
gaussian,100,5212100,7312006,9,0.1543074481388743,0.1543074481388743,0.1543074481388743,0.0,2,0,0.28451888229070676
gaussian,100,5212100,7312006,10,0.1543074481388743,0.1543074481388743,0.1543074481388743,0.0,3,0,0.28451888229070676
gaussian,100,5212100,7312006,11,0.1543074481388743,0.1543074481388743,0.1543074481388743,0.0,4,0,0.28451888229070676
gaussian,100,5212100,7312006,12,0.1543074481388743,0.1543074481388743,0.1543074481388743,0.0,5,0,0.28451888229070676
gaussian,100,5212100,7312007,1,0.4027450192010409,0.19153746254971057,0.1859821321402743,0.5382137002979636,0,117,0.049702447833473405
gaussian,100,5212100,7312007,2,0.1859821321402743,0.16176617114560377,0.1611447900216927,0.13354692643188096,0,25,0.02183816022735285
gaussian,100,5212100,7312007,3,0.1611447900216927,0.15586237496049954,0.15567189773363396,0.03396257668226202,0,9,0.059711083226259315
gaussian,100,5212100,7312007,4,0.15567189773363396,0.1537040679612234,0.15368490470880095,0.012763980228678832,0,6,0.06940252180683007
gaussian,100,5212100,7312007,5,0.15368490470880095,0.15246705096371566,0.15246327428970077,0.007948929150946173,0,1,0.03790299335355816
gaussian,100,5212100,7312007,6,0.15246327428970077,0.15218969529647444,0.15218969529647444,0.0017943927447504119,0,0,0.043004871413878
gaussian,100,5212100,7312007,7,0.15218969529647444,0.15218969529647444,0.15218969529647444,0.0,1,0,0.043004871413878
gaussian,100,5212100,7312007,8,0.15218969529647444,0.15218969529647444,0.15218969529647444,0.0,2,0,0.043004871413878
gaussian,100,5212100,7312007,9,0.15218969529647444,0.15218969529647444,0.15218969529647444,0.0,3,0,0.043004871413878
