conv_id,seed,orthogonality_max_abs_error,document_norm_max_abs_diff,query_norm_max_abs_diff,document_query_dot_max_abs_diff,cosine_score_max_abs_diff,continuous_top3_tie_sets_equivalent,status
locomo_0,43001,1.1102230246251565e-15,4.440892098500626e-16,4.440892098500626e-16,1.2212453270876722e-15,1.4432899320127035e-15,1,PASS
locomo_0,43002,1.2212453270876722e-15,4.440892098500626e-16,3.3306690738754696e-16,8.881784197001252e-16,9.992007221626409e-16,1,PASS
locomo_0,43003,1.1102230246251565e-15,4.440892098500626e-16,3.3306690738754696e-16,1.2212453270876722e-15,1.2212453270876722e-15,1,PASS
locomo_0,43004,1.1102230246251565e-15,4.440892098500626e-16,4.440892098500626e-16,1.1102230246251565e-15,1.1102230246251565e-15,1,PASS
locomo_0,43005,1.1102230246251565e-15,4.440892098500626e-16,5.551115123125783e-16,1.1102230246251565e-15,1.3322676295501878e-15,1,PASS
locomo_1,43001,1.1102230246251565e-15,5.551115123125783e-16,4.440892098500626e-16,8.326672684688674e-16,9.992007221626409e-16,1,PASS
locomo_1,43002,1.2212453270876722e-15,4.440892098500626e-16,4.440892098500626e-16,8.881784197001252e-16,1.1102230246251565e-15,1,PASS
locomo_1,43003,1.1102230246251565e-15,4.440892098500626e-16,3.3306690738754696e-16,8.881784197001252e-16,9.992007221626409e-16,1,PASS
locomo_1,43004,1.1102230246251565e-15,4.440892098500626e-16,4.440892098500626e-16,8.881784197001252e-16,9.992007221626409e-16,1,PASS
locomo_1,43005,1.1102230246251565e-15,4.440892098500626e-16,4.440892098500626e-16,1.1102230246251565e-15,1.2212453270876722e-15,1,PASS
locomo_2,43001,1.1102230246251565e-15,5.551115123125783e-16,4.440892098500626e-16,1.2212453270876722e-15,1.6653345369377348e-15,1,PASS
locomo_2,43002,1.2212453270876722e-15,4.440892098500626e-16,3.3306690738754696e-16,1.1102230246251565e-15,1.1102230246251565e-15,1,PASS
locomo_2,43003,1.1102230246251565e-15,4.440892098500626e-16,3.3306690738754696e-16,9.992007221626409e-16,1.3322676295501878e-15,1,PASS
