question_id,geometry,method,itq_seed,gold_mean,gold_median,non_gold_mean,non_gold_median,nearest_gold,nearest_non_gold,separation_non_gold_minus_gold_mean,gold_minus_non_gold_mean
001be529,HAMMING,SIGN96_CENTERED,,27.0,27.0,48.15204678362573,48.0,27.0,29.0,21.152046783625728,
001be529,HAMMING,ITQ96_CENTERED,101.0,30.0,30.0,48.23391812865497,49.0,30.0,29.0,18.23391812865497,
001be529,HAMMING,ITQ96_CENTERED,202.0,28.0,28.0,48.00389863547758,49.0,28.0,25.0,20.003898635477583,
001be529,HAMMING,ITQ96_CENTERED,303.0,34.0,34.0,48.13255360623781,49.0,34.0,28.0,14.132553606237813,
001be529,HAMMING,ITQ96_CENTERED,404.0,29.0,29.0,47.86159844054581,49.0,29.0,27.0,18.861598440545812,
001be529,HAMMING,ITQ96_CENTERED,505.0,32.0,32.0,47.705653021442494,49.0,32.0,27.0,15.705653021442494,
001be529,COSINE,FLOAT96_UNCENTERED,,0.6029416727961995,0.6029416727961995,0.13903152289211534,0.11117371330006172,0.6029416727961995,0.5874258548423004,-0.46391014990408413,0.46391014990408413
001be529,COSINE,FLOAT96_CENTERED,,0.5185394023574461,0.5185394023574461,0.0007701147380765994,-0.03695918732887709,0.5185394023574461,0.499394774316409,-0.5177692876193695,0.5177692876193695
00ca467f,HAMMING,SIGN96_CENTERED,,24.5,24.5,47.417355371900825,48.0,22.0,33.0,22.917355371900825,
00ca467f,HAMMING,ITQ96_CENTERED,101.0,19.0,19.0,48.039256198347104,49.0,19.0,20.0,29.039256198347104,
00ca467f,HAMMING,ITQ96_CENTERED,202.0,29.5,29.5,47.95661157024794,50.0,28.0,24.0,18.456611570247937,
00ca467f,HAMMING,ITQ96_CENTERED,303.0,20.0,20.0,48.014462809917354,50.0,18.0,21.0,28.014462809917354,
00ca467f,HAMMING,ITQ96_CENTERED,404.0,23.0,23.0,48.082644628099175,49.0,22.0,24.0,25.082644628099175,
00ca467f,HAMMING,ITQ96_CENTERED,505.0,23.5,23.5,47.66115702479339,49.0,23.0,21.0,24.16115702479339,
00ca467f,COSINE,FLOAT96_UNCENTERED,,0.6706702774391544,0.6706702774391544,0.07703412713955092,0.02717842512685653,0.6728298621521098,0.636801114740797,-0.5936361502996035,0.5936361502996035
00ca467f,COSINE,FLOAT96_CENTERED,,0.6424839435772152,0.6424839435772152,-0.0030885132835956185,-0.05082525057457156,0.6435460419380515,0.5978352542777245,-0.6455724568608108,0.6455724568608108
0100672e,HAMMING,SIGN96_CENTERED,,25.0,25.0,47.84504132231405,48.0,22.0,32.0,22.845041322314053,
0100672e,HAMMING,ITQ96_CENTERED,101.0,24.5,24.5,48.11570247933884,49.0,18.0,13.0,23.615702479338843,
0100672e,HAMMING,ITQ96_CENTERED,202.0,21.0,21.0,47.96694214876033,49.0,15.0,8.0,26.96694214876033,
0100672e,HAMMING,ITQ96_CENTERED,303.0,20.0,20.0,47.925619834710744,49.0,17.0,14.0,27.925619834710744,
0100672e,HAMMING,ITQ96_CENTERED,404.0,21.0,21.0,48.12396694214876,49.0,20.0,15.0,27.123966942148762,
0100672e,HAMMING,ITQ96_CENTERED,505.0,20.5,20.5,48.11570247933884,49.0,18.0,16.0,27.615702479338843,
0100672e,COSINE,FLOAT96_UNCENTERED,,0.7329103202045354,0.7329103202045354,0.09104635313174048,0.04686035221784323,0.7717603070885948,0.7955281809174952,-0.6418639670727949,0.6418639670727949
0100672e,COSINE,FLOAT96_CENTERED,,0.701006211945072,0.701006211945072,-0.0031056825814383886,-0.042852400061858996,0.7483940961776241,0.7799308110332077,-0.7041118945265104,0.7041118945265104
01493427,HAMMING,SIGN96_CENTERED,,29.5,29.5,47.88041237113402,48.0,29.0,27.0,18.38041237113402,
01493427,HAMMING,ITQ96_CENTERED,101.0,17.5,17.5,48.014432989690725,49.0,15.0,14.0,30.514432989690725,
01493427,HAMMING,ITQ96_CENTERED,202.0,15.5,15.5,48.06185567010309,50.0,13.0,13.0,32.56185567010309,
01493427,HAMMING,ITQ96_CENTERED,303.0,15.0,15.0,48.05567010309279,50.0,13.0,10.0,33.05567010309279,
01493427,HAMMING,ITQ96_CENTERED,404.0,18.0,18.0,48.37731958762887,50.0,17.0,13.0,30.377319587628868,
01493427,HAMMING,ITQ96_CENTERED,505.0,17.0,17.0,47.95876288659794,49.0,12.0,13.0,30.95876288659794,
01493427,COSINE,FLOAT96_UNCENTERED,,0.80903992761748,0.80903992761748,0.0858924468896394,0.047489152545085525,0.8186046773941952,0.8340995954861947,-0.7231474807278406,0.7231474807278406
01493427,COSINE,FLOAT96_CENTERED,,0.7874234083738094,0.7874234083738094,-0.002336748089447542,-0.041977274192397884,0.7977639032822684,0.8101449655499234,-0.7897601564632569,0.7897601564632569
031748ae,HAMMING,SIGN96_CENTERED,,16.5,16.5,47.979674796747965,48.0,7.0,17.0,31.479674796747965,
031748ae,HAMMING,ITQ96_CENTERED,101.0,13.0,13.0,48.1260162601626,49.0,1.0,4.0,35.1260162601626,
031748ae,HAMMING,ITQ96_CENTERED,202.0,11.0,11.0,48.00406504065041,49.0,1.0,1.0,37.00406504065041,
031748ae,HAMMING,ITQ96_CENTERED,303.0,12.5,12.5,48.00406504065041,49.0,3.0,4.0,35.50406504065041,
031748ae,HAMMING,ITQ96_CENTERED,404.0,12.5,12.5,48.06707317073171,49.0,1.0,1.0,35.56707317073171,
031748ae,HAMMING,ITQ96_CENTERED,505.0,11.0,11.0,48.21747967479675,49.0,2.0,2.0,37.21747967479675,
