question_id,method,itq_seed,N_archive,min_hamming_distance,candidates_at_min_distance,top3_boundary_distance,candidates_at_top3_boundary_distance,slots_remaining_at_boundary,top3_boundary_tie,boundary_tie_size_median,boundary_tie_size_p90,boundary_tie_size_max
001be529,SIGN96_CENTERED,,514,27.0,1.0,30.0,1.0,1.0,0.0,,,
001be529,ITQ96_CENTERED,101.0,514,29.0,1.0,30.0,8.0,2.0,1.0,,,
001be529,ITQ96_CENTERED,202.0,514,25.0,1.0,27.0,1.0,1.0,0.0,,,
001be529,ITQ96_CENTERED,303.0,514,28.0,2.0,29.0,2.0,1.0,1.0,,,
001be529,ITQ96_CENTERED,404.0,514,27.0,2.0,28.0,2.0,1.0,1.0,,,
001be529,ITQ96_CENTERED,505.0,514,27.0,2.0,28.0,1.0,1.0,0.0,,,
00ca467f,SIGN96_CENTERED,,486,22.0,1.0,33.0,2.0,1.0,1.0,,,
00ca467f,ITQ96_CENTERED,101.0,486,19.0,2.0,20.0,1.0,1.0,0.0,,,
00ca467f,ITQ96_CENTERED,202.0,486,24.0,4.0,24.0,4.0,3.0,1.0,,,
00ca467f,ITQ96_CENTERED,303.0,486,18.0,1.0,21.0,2.0,2.0,0.0,,,
00ca467f,ITQ96_CENTERED,404.0,486,22.0,1.0,24.0,2.0,2.0,0.0,,,
00ca467f,ITQ96_CENTERED,505.0,486,21.0,1.0,23.0,2.0,1.0,1.0,,,
0100672e,SIGN96_CENTERED,,486,22.0,1.0,32.0,1.0,1.0,0.0,,,
0100672e,ITQ96_CENTERED,101.0,486,13.0,1.0,16.0,2.0,1.0,1.0,,,
0100672e,ITQ96_CENTERED,202.0,486,8.0,1.0,11.0,1.0,1.0,0.0,,,
0100672e,ITQ96_CENTERED,303.0,486,14.0,2.0,15.0,2.0,1.0,1.0,,,
0100672e,ITQ96_CENTERED,404.0,486,15.0,1.0,17.0,2.0,1.0,1.0,,,
0100672e,ITQ96_CENTERED,505.0,486,16.0,1.0,17.0,2.0,2.0,0.0,,,
01493427,SIGN96_CENTERED,,487,27.0,1.0,30.0,1.0,1.0,0.0,,,
01493427,ITQ96_CENTERED,101.0,487,14.0,1.0,15.0,2.0,2.0,0.0,,,
