arm,boundary,rotation_seed,R3,rho
B16,16.0,58001,0.15521632330752852,0.8228626887220807
B16,16.0,58002,0.15107598526529356,0.8647524612957833
B16,16.0,58003,0.16256617595216943,0.7485007277919439
B16,16.0,58004,0.15070493558197143,0.8685065477228708
B16,16.0,58005,0.15418530942136996,0.8332939474190633
B16,16.0,58006,0.15973726327960855,0.7771221850921969
B16,16.0,58007,0.15298432909833562,0.8454448375358141
B16,16.0,58008,0.15445326433801237,0.8305829198643911
B16,16.0,58009,0.15427573990804494,0.8323790191011573
B16,16.0,58010,0.1567905803719178,0.8069351799710769
B24,24.0,58001,0.19021935972098836,0.46872029266850324
B24,24.0,58002,0.18460903826539005,0.5254825877862025
B24,24.0,58003,0.18828348370243372,0.48830647266658966
B24,24.0,58004,0.17320916235411352,0.640820563676217
B24,24.0,58005,0.18150764508744965,0.556860860178528
B24,24.0,58006,0.1840739056455669,0.5308967794566636
B24,24.0,58007,0.1769126678605506,0.6033504339893278
B24,24.0,58008,0.184342508378339,0.5281791976375654
B24,24.0,58009,0.1863382096496678,0.5079877370543406
B24,24.0,58010,0.19533344496618113,0.41697865571559073
B32,32.0,58001,0.22848125273206704,0.0816064917846878
B32,32.0,58002,0.2276969153666797,0.08954200659579195
B32,32.0,58003,0.23443890745519408,0.021330060517804617
B32,32.0,58004,0.2224943824139072,0.14217851114583896
B32,32.0,58005,0.23565573577175417,0.00901882870002086
B32,32.0,58006,0.22924947059072368,0.07383406570306955
B32,32.0,58007,0.23168428074023012,0.04919993139264699
B32,32.0,58008,0.21607115211778335,0.20716539230105543
B32,32.0,58009,0.23081207843911422,0.0580244176204147
B32,32.0,58010,0.2274480049447476,0.092060351924023
B48,48.0,58001,0.20758427982781305,0.2930311226985205
B48,48.0,58002,0.2031146328336882,0.338252670832681
B48,48.0,58003,0.20434621044153523,0.3257922134078741
B48,48.0,58004,0.19890352689294055,0.3808584359519138
B48,48.0,58005,0.2042875709162354,0.3263854974232329
B48,48.0,58006,0.2120170597110624,0.24818257668985563
B48,48.0,58007,0.2154281857249859,0.21367058962844096
B48,48.0,58008,0.20658358569960408,0.3031556219589445
B48,48.0,58009,0.2084650953462028,0.2841194924479582
B48,48.0,58010,0.20482725110575276,0.32092529582355583
B64,64.0,58001,0.18820278276878655,0.4891229624610174
B64,64.0,58002,0.1853551969203435,0.5179333451782179
B64,64.0,58003,0.1837854845225031,0.5338148733725102
B64,64.0,58004,0.17146054134447758,0.6585121955343025
B64,64.0,58005,0.1866778649274338,0.5045512827856464
B64,64.0,58006,0.17112011134893618,0.6619564879918329
B64,64.0,58007,0.19181330024853688,0.45259363694283383
B64,64.0,58008,0.18835983967172892,0.48753394294660235
B64,64.0,58009,0.18473114814971492,0.5242471439091105
B64,64.0,58010,0.189278290113795,0.478241542242626
RANDOM32,,58001,0.1390427625003214,0.9864983090530085
RANDOM32,,58002,0.14847003069315773,0.8911181452690766
RANDOM32,,58003,0.14391946453835705,0.9371583911044845
RANDOM32,,58004,0.14434477863793826,0.9328552857246569
RANDOM32,,58005,0.1439957197961605,0.9363868803306418
RANDOM32,,58006,0.13933432460828313,0.9835484362964756
RANDOM32,,58007,0.14043402146170877,0.972422279296708
RANDOM32,,58008,0.1398887099998424,0.977939455161673
RANDOM32,,58009,0.14917561581932148,0.8839794043824913
RANDOM32,,58010,0.15056585633697603,0.8699136787066576
