seed,band,pair_count,discrimination_sum,same_sign_adv_sum,tie_count,pairwise_gold_vs_nongold_discrimination,gold_minus_nongold_same_sign_advantage
55001,Full96,1433817,1149353.0,124750.97916666667,45060.0,0.801603691405528,0.0870062073239937
55001,High32,1433817,1055712.5,133626.53125,103563.0,0.736295147846622,0.09319636414549416
55001,Low32,1433817,1002326.5,115610.09375,104477.0,0.6990616654705587,0.08063099666833355
55001,Mid32,1433817,1030121.0,125016.3125,104372.0,0.7184466357980133,0.08719126115815337
55002,Full96,1433817,1148932.5,124327.0625,45883.0,0.8013104182751355,0.08671055127676684
55002,High32,1433817,1059533.5,133465.65625,103535.0,0.7389600625463361,0.0930841636345503
55002,Low32,1433817,995587.0,113949.6875,108226.0,0.6943612748349336,0.07947296447175616
55002,Mid32,1433817,1035930.0,125565.84375,103158.0,0.722498059375778,0.08757452572399406
55003,Full96,1433817,1143630.5,122127.86458333333,45523.0,0.797612596307618,0.08517674471939818
55003,High32,1433817,1059591.0,133313.25,104730.0,0.7390001652930605,0.09297786956075985
55003,Low32,1433817,995787.5,112681.21875,105927.0,0.6945011113691636,0.0785882848020354
55003,Mid32,1433817,1023159.0,120389.125,106142.0,0.713591064968542,0.08396407979539927
55004,Full96,1433817,1149444.5,124434.03125,45691.0,0.8016675070807502,0.08678515546265667
55004,High32,1433817,1061357.5,134602.75,103757.0,0.7402321914163383,0.09387721724599443
55004,Low32,1433817,1006580.5,118076.59375,105369.0,0.7020285712890836,0.08235123014303777
55004,Mid32,1433817,1022641.5,120622.75,105991.0,0.7132301402480233,0.0841270189989378
55005,Full96,1433817,1144236.5,123189.9375,45311.0,0.7980352443861385,0.08591747587035166
55005,High32,1433817,1053804.0,131288.4375,105014.0,0.7349640853749119,0.09156568620681718
55005,Low32,1433817,994813.0,113885.15625,105876.0,0.6938214569920708,0.07942795785654655
55005,Mid32,1433817,1031210.0,124396.21875,102274.0,0.7192061469490179,0.08675878354769123
