seed,band,fractional_R3
55001,Full96,0.23445227519494619
55001,High32,0.07915955714039638
55001,HighLow64,0.17852931043111156
55001,HighMid64,0.1572664241296163
55001,Low32,0.1274649842663351
55001,Mid32,0.12624004705030764
55001,MidLow64,0.22219075350997178
55002,Full96,0.24100557625083396
55002,High32,0.0812152067025606
55002,HighLow64,0.18386985268887931
55002,HighMid64,0.15337665862910163
55002,Low32,0.14306803880371613
55002,Mid32,0.11712512984662822
55002,MidLow64,0.23143711047739596
55003,Full96,0.22049886321126022
55003,High32,0.0784595410763259
55003,HighLow64,0.18501896902020945
55003,HighMid64,0.1509391515958866
55003,Low32,0.1381629933584331
55003,Mid32,0.10760816635409469
55003,MidLow64,0.2142656165095279
55004,Full96,0.2332401821848076
55004,High32,0.0856168363209463
55004,HighLow64,0.1811373471805068
55004,HighMid64,0.15349409873514108
55004,Low32,0.1401852000695649
55004,Mid32,0.11100075406469805
55004,MidLow64,0.21180728320711784
55005,Full96,0.22129971270649057
55005,High32,0.08789281339558666
55005,HighLow64,0.18389781800329294
55005,HighMid64,0.1612574966887045
55005,Low32,0.13753807502667437
55005,Mid32,0.11224683080220539
55005,MidLow64,0.2097998505294922
