seed,subset,Fractional_R3
56001,Full96,0.24319099434006
56001,Head32,0.0840817434465643
56001,Tail64,0.22017175477436066
56002,Full96,0.21927062124820315
56002,Head32,0.08094975111750356
56002,Tail64,0.21835020281925818
56003,Full96,0.219372442432703
56003,Head32,0.08534067206983474
56003,Tail64,0.21270122584617698
56004,Full96,0.22784642362989696
56004,Head32,0.08058673222885464
56004,Tail64,0.21238669590825177
56005,Full96,0.2199567247998587
56005,Head32,0.08341269952593457
56005,Tail64,0.2115804978589995
