seed,arm,block32_bad,block32_bad_full_good,block32_good,block32_good_full_bad,block32_wrong_or_tie_to_full_rescue,block32_correct_to_full_degrade
57001,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,1474,158,61,18,0.10719131614654002,0.29508196721311475
57001,RANDOM32_COMPLEMENT64_HAAR,1476,93,59,25,0.06300813008130081,0.423728813559322
57002,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,1480,183,55,18,0.12364864864864865,0.32727272727272727
57002,RANDOM32_COMPLEMENT64_HAAR,1478,102,57,21,0.06901217861975643,0.3684210526315789
57003,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,1479,172,56,18,0.1162947937795808,0.32142857142857145
57003,RANDOM32_COMPLEMENT64_HAAR,1483,95,52,16,0.06405933917734322,0.3076923076923077
57004,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,1471,159,64,22,0.10808973487423522,0.34375
57004,RANDOM32_COMPLEMENT64_HAAR,1478,94,57,21,0.06359945872801083,0.3684210526315789
57005,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,1477,165,58,15,0.11171293161814488,0.25862068965517243
57005,RANDOM32_COMPLEMENT64_HAAR,1490,110,45,6,0.0738255033557047,0.13333333333333333
57006,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,1474,151,61,15,0.10244233378561737,0.2459016393442623
57006,RANDOM32_COMPLEMENT64_HAAR,1496,118,39,9,0.07887700534759358,0.23076923076923078
57007,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,1489,165,46,20,0.11081262592343855,0.43478260869565216
57007,RANDOM32_COMPLEMENT64_HAAR,1481,95,54,21,0.06414584740040513,0.3888888888888889
57008,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,1469,189,66,19,0.12865895166780122,0.2878787878787879
57008,RANDOM32_COMPLEMENT64_HAAR,1485,96,50,18,0.06464646464646465,0.36
57009,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,1473,163,62,28,0.11065852002715547,0.45161290322580644
57009,RANDOM32_COMPLEMENT64_HAAR,1483,91,52,21,0.06136210384356035,0.40384615384615385
57010,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,1477,164,58,17,0.11103588354773189,0.29310344827586204
57010,RANDOM32_COMPLEMENT64_HAAR,1481,99,54,19,0.06684672518568535,0.35185185185185186
