seed,arm,subset,pair_count,discrimination_sum,same_sign_adv_sum,tie_count,pairwise_gold_vs_nongold_discrimination,gold_minus_nongold_same_sign_advantage,tie_fraction
57001,RANDOM32_COMPLEMENT64_HAAR,Full96,1433817,1131992.0,125178.85416666667,42978.0,0.7894954516510824,0.08730462406755302,0.029974536499427752
57001,RANDOM32_COMPLEMENT64_HAAR,Random32,1433817,997202.5,122476.03125,97273.0,0.6954879876581181,0.08541956975680996,0.0678419909932718
57001,RANDOM32_COMPLEMENT64_HAAR,Random64,1433817,1085973.0,126530.265625,57756.0,0.7574000029292441,0.08824715122292455,0.04028129112711036
57001,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Full96,1433817,1151474.0,125139.28125,45398.0,0.8030829596803497,0.08727702436921866,0.031662339057215806
57001,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Head32,1433817,1070823.5,136624.625,103113.0,0.7468341496857688,0.09528735187265878,0.07191503518231405
57001,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Tail64,1433817,1076448.5,119396.609375,63769.0,0.7507572444740158,0.08327186061749861,0.04447499227586226
57002,RANDOM32_COMPLEMENT64_HAAR,Full96,1433817,1138121.0,128845.3125,42456.0,0.7937700557323564,0.08986175537045522,0.029610473303078425
57002,RANDOM32_COMPLEMENT64_HAAR,Random32,1433817,1003917.0,124311.46875,96554.0,0.7001709423169066,0.08669967558621498,0.06734053229944965
57002,RANDOM32_COMPLEMENT64_HAAR,Random64,1433817,1097045.5,131112.234375,57199.0,0.7651223970701979,0.09144279526257534,0.03989281756318972
57002,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Full96,1433817,1146025.0,125019.85416666667,43832.0,0.7992826141690327,0.08719373125487191,0.030570149468167836
57002,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Head32,1433817,1056876.5,131619.9375,104567.0,0.7371069669281366,0.09179688725967121,0.07292911159513382
57002,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Tail64,1433817,1083717.5,121719.8125,62349.0,0.7558269290990413,0.08489215325247225,0.043484628791540345
57003,RANDOM32_COMPLEMENT64_HAAR,Full96,1433817,1137334.5,128574.59375,42327.0,0.7932215199010753,0.08967294553628531,0.029520503662601293
57003,RANDOM32_COMPLEMENT64_HAAR,Random32,1433817,1020614.0,131977.375,94042.0,0.7118160825265707,0.09204617813849326,0.0655885653469027
57003,RANDOM32_COMPLEMENT64_HAAR,Random64,1433817,1085825.0,126873.203125,57982.0,0.7572967819463711,0.08848632923518134,0.04043891235771371
57003,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Full96,1433817,1145187.0,123719.07291666667,45996.0,0.7986981602254681,0.08628651558508978,0.03207940762314856
57003,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Head32,1433817,1059413.5,132421.9375,103305.0,0.7388763698575201,0.09235623339659106,0.07204894348441956
57003,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Tail64,1433817,1077106.0,119367.640625,63772.0,0.7512158106648198,0.08325165667933913,0.04447708459308266
57004,RANDOM32_COMPLEMENT64_HAAR,Full96,1433817,1148573.5,131595.91666666666,41005.0,0.8010600376477612,0.09178013419192732,0.028598489207479056
57004,RANDOM32_COMPLEMENT64_HAAR,Random32,1433817,1019272.5,131285.9375,93987.0,0.7108804680095159,0.09156394260913352,0.06555020619786207
57004,RANDOM32_COMPLEMENT64_HAAR,Random64,1433817,1102692.5,131750.90625,54929.0,0.7690608355180613,0.09188822998332423,0.038309630866421585
57004,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Full96,1433817,1143911.0,125003.09375,44732.0,0.7978082279677253,0.08718204188540099,0.03119784463428736
57004,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Head32,1433817,1056831.5,132107.71875,103371.0,0.7370755821698306,0.09213708496272537,0.07209497446326832
