seed,arm,subset,Fractional_R3
57001,RANDOM32_COMPLEMENT64_HAAR,Full96,0.14212984662821795
57001,RANDOM32_COMPLEMENT64_HAAR,Random32,0.08262654671976381
57001,RANDOM32_COMPLEMENT64_HAAR,Random64,0.10767353854976004
57001,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Full96,0.22424831112980184
57001,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Head32,0.08292512608636388
57001,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Tail64,0.21672863319644312
57002,RANDOM32_COMPLEMENT64_HAAR,Full96,0.14438396736643527
57002,RANDOM32_COMPLEMENT64_HAAR,Random32,0.07494555372242669
57002,RANDOM32_COMPLEMENT64_HAAR,Random64,0.1177676271377172
57002,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Full96,0.23395614585521154
57002,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Head32,0.08308498888648343
57002,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Tail64,0.2223951848578113
57003,RANDOM32_COMPLEMENT64_HAAR,Full96,0.14226428520277917
57003,RANDOM32_COMPLEMENT64_HAAR,Random32,0.06955535656641182
57003,RANDOM32_COMPLEMENT64_HAAR,Random64,0.1294079179001578
57003,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Full96,0.23243629407147323
57003,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Head32,0.07444145330986428
57003,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Tail64,0.21380877763206754
57004,RANDOM32_COMPLEMENT64_HAAR,Full96,0.13391166780340447
57004,RANDOM32_COMPLEMENT64_HAAR,Random32,0.07476244529990458
57004,RANDOM32_COMPLEMENT64_HAAR,Random64,0.11031563337323667
57004,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Full96,0.23734666582060718
57004,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Head32,0.08286638840710502
57004,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Tail64,0.21264374433022643
57005,RANDOM32_COMPLEMENT64_HAAR,Full96,0.136925203641816
57005,RANDOM32_COMPLEMENT64_HAAR,Random32,0.06360257061071393
57005,RANDOM32_COMPLEMENT64_HAAR,Random64,0.12656729339388348
57005,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Full96,0.23347719164657274
57005,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Head32,0.09036764927074374
57005,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Tail64,0.21445327373867323
57006,RANDOM32_COMPLEMENT64_HAAR,Full96,0.15607427282432074
57006,RANDOM32_COMPLEMENT64_HAAR,Random32,0.06409709859661958
57006,RANDOM32_COMPLEMENT64_HAAR,Random64,0.13404761614447377
57006,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Full96,0.2167400270739033
57006,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Head32,0.08598101818121281
57006,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Tail64,0.20114397554501023
57007,RANDOM32_COMPLEMENT64_HAAR,Full96,0.14726794330406132
57007,RANDOM32_COMPLEMENT64_HAAR,Random32,0.07386864543156331
57007,RANDOM32_COMPLEMENT64_HAAR,Random64,0.1177863793824706
57007,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Full96,0.22762435166545147
57007,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Head32,0.0814921363471852
57007,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Tail64,0.2079776217268074
57008,RANDOM32_COMPLEMENT64_HAAR,Full96,0.14920486860226273
57008,RANDOM32_COMPLEMENT64_HAAR,Random32,0.07217639165033302
57008,RANDOM32_COMPLEMENT64_HAAR,Random64,0.12376273202006102
57008,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Full96,0.24156400439950929
57008,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Head32,0.08098210833045093
57008,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Tail64,0.2301120887798412
57009,RANDOM32_COMPLEMENT64_HAAR,Full96,0.1322829152389413
57009,RANDOM32_COMPLEMENT64_HAAR,Random32,0.06617828118316718
57009,RANDOM32_COMPLEMENT64_HAAR,Random64,0.10955548035026862
57009,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Full96,0.2282316534352365
57009,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Head32,0.08389217926571321
57009,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Tail64,0.2095246967111788
57010,RANDOM32_COMPLEMENT64_HAAR,Full96,0.14538310167616547
57010,RANDOM32_COMPLEMENT64_HAAR,Random32,0.06756349206349206
57010,RANDOM32_COMPLEMENT64_HAAR,Random64,0.126003271222614
57010,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Full96,0.22565476736543993
57010,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Head32,0.08743909436245133
57010,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Tail64,0.20619461690509783
