arm,boundary,rotation_seed,R3,rho
B16,16.0,58001,0.39511702127659576,0.9221369422567987
B16,16.0,58002,0.41540780141843975,0.7947291192116107
B16,16.0,58003,0.4205301418439716,0.7625654351171035
B16,16.0,58004,0.4176241134751773,0.7808126757646969
B16,16.0,58005,0.4124822695035461,0.8130988245615375
B16,16.0,58006,0.4102978723404255,0.8268148712228164
B16,16.0,58007,0.42192375886524824,0.7538147754776835
B16,16.0,58008,0.43160283687943257,0.6930388836563208
B16,16.0,58009,0.4027996453900709,0.8738969826924159
B16,16.0,58010,0.4101897163120567,0.8274939936630257
B24,24.0,58001,0.4515443262411347,0.5678242920983666
B24,24.0,58002,0.4456063829787234,0.6051092273813385
B24,24.0,58003,0.4643049645390071,0.48769897730841383
B24,24.0,58004,0.46601773049645384,0.47694434981263906
B24,24.0,58005,0.434104609929078,0.6773300022934439
B24,24.0,58006,0.45293439716312056,0.5590958987684619
B24,24.0,58007,0.4377836879432624,0.6542287061715666
B24,24.0,58008,0.45732446808510635,0.5315302075888146
B24,24.0,58009,0.44354609929078015,0.6180459532095899
B24,24.0,58010,0.4484574468085106,0.5872071145312288
B32,32.0,58001,0.521258865248227,0.1300797801869948
B32,32.0,58002,0.5214893617021277,0.12863247006851566
B32,32.0,58003,0.5043067375886524,0.23652387282375165
B32,32.0,58004,0.499531914893617,0.2665054585857831
B32,32.0,58005,0.5172021276595744,0.15555243827222673
B32,32.0,58006,0.5142003546099291,0.17440086927672677
B32,32.0,58007,0.5163794326241135,0.16071822207972097
B32,32.0,58008,0.508581560283688,0.20968183670334328
B32,32.0,58009,0.5314893617021277,0.06584147723603931
B32,32.0,58010,0.5275,0.09089107544048497
B48,48.0,58001,0.5173439716312057,0.15466178589162358
B48,48.0,58002,0.5132039007092198,0.18065770225045943
B48,48.0,58003,0.5123315602836879,0.18613521439116515
B48,48.0,58004,0.5195070921985815,0.14107933708743614
B48,48.0,58005,0.5142606382978723,0.1740223420149711
B48,48.0,58006,0.5208829787234043,0.1324400089955913
B48,48.0,58007,0.5102482269503547,0.19921667123126363
B48,48.0,58008,0.5025496453900709,0.24755682918846508
B48,48.0,58009,0.4938652482269504,0.30208702119085257
B48,48.0,58010,0.5068014184397163,0.22085952407990497
B64,64.0,58001,0.46617021276595744,0.4759868985034911
B64,64.0,58002,0.4966914893617021,0.2843407725073481
B64,64.0,58003,0.4853014184397163,0.3558601586697288
B64,64.0,58004,0.46840957446808507,0.4619257240447293
B64,64.0,58005,0.4745053191489361,0.4236499379883369
B64,64.0,58006,0.4757801418439716,0.4156451997176718
B64,64.0,58007,0.5038315602836879,0.2395075582987697
B64,64.0,58008,0.48684751773049645,0.34615204772116154
B64,64.0,58009,0.47762943262411345,0.4040333193055667
B64,64.0,58010,0.511232269503546,0.19303777034083436
RANDOM32,,58001,0.37448581560283684,1.0516823310154326
RANDOM32,,58002,0.39794858156028373,0.904357294109021
RANDOM32,,58003,0.3820372340425532,1.004266224903107
RANDOM32,,58004,0.37365248226950354,1.0569149137514722
RANDOM32,,58005,0.38511524822695037,0.9849390682440324
RANDOM32,,58006,0.40183510638297876,0.8799534188805125
RANDOM32,,58007,0.36811170212765953,1.0917060223687576
RANDOM32,,58008,0.3975744680851063,0.9067063897628608
RANDOM32,,58009,0.3838918439716312,0.9926209450267293
RANDOM32,,58010,0.37697517730496455,1.0360513817358585
