seed,subset,Fractional_R3
56001,Head32,0.2502606382978723
56001,Tail64,0.4819627659574468
56001,Full96,0.5106400709219857
56002,Head32,0.24331560283687945
56002,Tail64,0.47451595744680847
56002,Full96,0.5131560283687944
56003,Head32,0.24627659574468086
56003,Tail64,0.47009397163120564
56003,Full96,0.5095053191489362
56004,Head32,0.25370390070921983
56004,Tail64,0.4801932624113475
56004,Full96,0.5302712765957447
56005,Head32,0.2402517730496454
56005,Tail64,0.475168439716312
56005,Full96,0.521531914893617
