seed,arm,block32_bad,block32_good,block32_wrong_or_tie_to_full_rescue,block32_correct_to_full_degrade
57001,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,426,44,0.3755868544600939,0.2727272727272727
57001,RANDOM32_COMPLEMENT64_HAAR,411,59,0.1897810218978102,0.4067796610169492
57002,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,421,49,0.33729216152019004,0.22448979591836735
57002,RANDOM32_COMPLEMENT64_HAAR,410,60,0.16829268292682928,0.31666666666666665
57003,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,418,52,0.3492822966507177,0.25
57003,RANDOM32_COMPLEMENT64_HAAR,398,72,0.19597989949748743,0.4027777777777778
57004,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,427,43,0.3325526932084309,0.32558139534883723
57004,RANDOM32_COMPLEMENT64_HAAR,413,57,0.19612590799031476,0.3157894736842105
57005,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,424,46,0.3466981132075472,0.3695652173913043
57005,RANDOM32_COMPLEMENT64_HAAR,402,68,0.20398009950248755,0.4264705882352941
57006,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,416,54,0.3581730769230769,0.37037037037037035
57006,RANDOM32_COMPLEMENT64_HAAR,411,59,0.21897810218978103,0.3050847457627119
57007,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,417,53,0.33573141486810554,0.20754716981132076
57007,RANDOM32_COMPLEMENT64_HAAR,424,46,0.20754716981132076,0.391304347826087
57008,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,411,59,0.31630170316301703,0.3220338983050847
57008,RANDOM32_COMPLEMENT64_HAAR,419,51,0.24105011933174225,0.27450980392156865
57009,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,426,44,0.3403755868544601,0.3409090909090909
57009,RANDOM32_COMPLEMENT64_HAAR,398,72,0.20100502512562815,0.3333333333333333
57010,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,421,49,0.334916864608076,0.3673469387755102
57010,RANDOM32_COMPLEMENT64_HAAR,411,59,0.20437956204379562,0.4915254237288136
