seed,arm,subset,Fractional_R3
57001,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Head32,0.25824290780141845
57001,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Tail64,0.4808209219858156
57001,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Full96,0.5239929078014185
57001,RANDOM32_COMPLEMENT64_HAAR,Random32,0.27502127659574466
57001,RANDOM32_COMPLEMENT64_HAAR,Random64,0.3397960992907801
57001,RANDOM32_COMPLEMENT64_HAAR,Full96,0.36856028368794325
57002,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Head32,0.2643173758865248
57002,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Tail64,0.4649468085106383
57002,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Full96,0.50604609929078
57002,RANDOM32_COMPLEMENT64_HAAR,Random32,0.24797163120567375
57002,RANDOM32_COMPLEMENT64_HAAR,Random64,0.3476489361702128
57002,RANDOM32_COMPLEMENT64_HAAR,Full96,0.3718014184397163
57003,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Head32,0.260331560283688
57003,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Tail64,0.47578368794326237
57003,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Full96,0.5151861702127659
57003,RANDOM32_COMPLEMENT64_HAAR,Random32,0.29060638297872343
57003,RANDOM32_COMPLEMENT64_HAAR,Random64,0.35898049645390073
57003,RANDOM32_COMPLEMENT64_HAAR,Full96,0.3849113475177305
57004,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Head32,0.25021631205673756
57004,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Tail64,0.4874432624113475
57004,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Full96,0.5120691489361702
57004,RANDOM32_COMPLEMENT64_HAAR,Random32,0.2578723404255319
57004,RANDOM32_COMPLEMENT64_HAAR,Random64,0.3239166666666667
57004,RANDOM32_COMPLEMENT64_HAAR,Full96,0.3739432624113475
57005,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Head32,0.23246453900709219
57005,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Tail64,0.4690106382978723
57005,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Full96,0.5042641843971631
57005,RANDOM32_COMPLEMENT64_HAAR,Random32,0.27704787234042555
57005,RANDOM32_COMPLEMENT64_HAAR,Random64,0.3576063829787234
57005,RANDOM32_COMPLEMENT64_HAAR,Full96,0.3799007092198582
57006,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Head32,0.2511099290780142
57006,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Tail64,0.4827109929078014
57006,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Full96,0.5286170212765957
57006,RANDOM32_COMPLEMENT64_HAAR,Random32,0.2631223404255319
57006,RANDOM32_COMPLEMENT64_HAAR,Random64,0.3765106382978723
57006,RANDOM32_COMPLEMENT64_HAAR,Full96,0.39801418439716313
57007,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Head32,0.24565780141843974
57007,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Tail64,0.4743510638297872
57007,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Full96,0.523723404255319
57007,RANDOM32_COMPLEMENT64_HAAR,Random32,0.2647517730496454
57007,RANDOM32_COMPLEMENT64_HAAR,Random64,0.3435283687943262
57007,RANDOM32_COMPLEMENT64_HAAR,Full96,0.38356028368794326
57008,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Head32,0.2553368794326241
57008,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Tail64,0.47598404255319143
57008,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Full96,0.5074556737588652
57008,RANDOM32_COMPLEMENT64_HAAR,Random32,0.25310815602836884
57008,RANDOM32_COMPLEMENT64_HAAR,Random64,0.39075354609929075
57008,RANDOM32_COMPLEMENT64_HAAR,Full96,0.39766666666666667
57009,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Head32,0.23687588652482272
57009,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Tail64,0.4761028368794326
57009,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Full96,0.5060992907801418
57009,RANDOM32_COMPLEMENT64_HAAR,Random32,0.270895390070922
57009,RANDOM32_COMPLEMENT64_HAAR,Random64,0.35324468085106386
57009,RANDOM32_COMPLEMENT64_HAAR,Full96,0.3949326241134752
57010,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Head32,0.24111879432624114
57010,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Tail64,0.4858510638297872
57010,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Full96,0.5205762411347518
57010,RANDOM32_COMPLEMENT64_HAAR,Random32,0.24067553191489363
57010,RANDOM32_COMPLEMENT64_HAAR,Random64,0.3384468085106383
57010,RANDOM32_COMPLEMENT64_HAAR,Full96,0.36695744680851056
