source_row_ordinal_1based,N_archive,variant,component,shared_component_bytes,reference_96bit_code_volume_bytes,shared_component_to_code_volume_ratio
1,514,actual_numpy_fitted_float64,raw_array,73728,6168,11.95330739299611
1,514,actual_numpy_fitted_float64,npy_array_container,73856,6168,11.974059662775616
1,514,explicit_float32_conversion,raw_array,36864,6168,5.976653696498055
1,514,explicit_float32_conversion,npy_array_container,36992,6168,5.997405966277562
2,486,actual_numpy_fitted_float64,raw_array,73728,5832,12.641975308641975
2,486,actual_numpy_fitted_float64,npy_array_container,73856,5832,12.663923182441701
2,486,explicit_float32_conversion,raw_array,36864,5832,6.320987654320987
2,486,explicit_float32_conversion,npy_array_container,36992,5832,6.342935528120713
3,486,actual_numpy_fitted_float64,raw_array,73728,5832,12.641975308641975
3,486,actual_numpy_fitted_float64,npy_array_container,73856,5832,12.663923182441701
3,486,explicit_float32_conversion,raw_array,36864,5832,6.320987654320987
3,486,explicit_float32_conversion,npy_array_container,36992,5832,6.342935528120713
4,487,actual_numpy_fitted_float64,raw_array,73728,5844,12.616016427104723
4,487,actual_numpy_fitted_float64,npy_array_container,73856,5844,12.63791923340178
4,487,explicit_float32_conversion,raw_array,36864,5844,6.308008213552362
4,487,explicit_float32_conversion,npy_array_container,36992,5844,6.329911019849418
5,494,actual_numpy_fitted_float64,raw_array,73728,5928,12.437246963562753
5,494,actual_numpy_fitted_float64,npy_array_container,73856,5928,12.458839406207828
5,494,explicit_float32_conversion,raw_array,36864,5928,6.218623481781377
5,494,explicit_float32_conversion,npy_array_container,36992,5928,6.240215924426451
6,443,actual_numpy_fitted_float64,raw_array,73728,5316,13.869074492099323
6,443,actual_numpy_fitted_float64,npy_array_container,73856,5316,13.893152746425883
6,443,explicit_float32_conversion,raw_array,36864,5316,6.934537246049661
6,443,explicit_float32_conversion,npy_array_container,36992,5316,6.958615500376223
7,479,actual_numpy_fitted_float64,raw_array,73728,5748,12.826722338204593
7,479,actual_numpy_fitted_float64,npy_array_container,73856,5748,12.848990953375086
7,479,explicit_float32_conversion,raw_array,36864,5748,6.413361169102297
7,479,explicit_float32_conversion,npy_array_container,36992,5748,6.43562978427279
8,503,actual_numpy_fitted_float64,raw_array,73728,6036,12.214711729622266
8,503,actual_numpy_fitted_float64,npy_array_container,73856,6036,12.235917826375083
8,503,explicit_float32_conversion,raw_array,36864,6036,6.107355864811133
8,503,explicit_float32_conversion,npy_array_container,36992,6036,6.12856196156395
9,513,actual_numpy_fitted_float64,raw_array,73728,6156,11.976608187134502
9,513,actual_numpy_fitted_float64,npy_array_container,73856,6156,11.99740090968161
9,513,explicit_float32_conversion,raw_array,36864,6156,5.988304093567251
9,513,explicit_float32_conversion,npy_array_container,36992,6156,6.00909681611436
10,527,actual_numpy_fitted_float64,raw_array,73728,6324,11.658444022770398
10,527,actual_numpy_fitted_float64,npy_array_container,73856,6324,11.678684376976596
10,527,explicit_float32_conversion,raw_array,36864,6324,5.829222011385199
10,527,explicit_float32_conversion,npy_array_container,36992,6324,5.849462365591398
11,551,actual_numpy_fitted_float64,raw_array,73728,6612,11.150635208711433
11,551,actual_numpy_fitted_float64,npy_array_container,73856,6612,11.169993950393225
11,551,explicit_float32_conversion,raw_array,36864,6612,5.575317604355717
11,551,explicit_float32_conversion,npy_array_container,36992,6612,5.594676346037508
12,524,actual_numpy_fitted_float64,raw_array,73728,6288,11.725190839694656
12,524,actual_numpy_fitted_float64,npy_array_container,73856,6288,11.745547073791348
12,524,explicit_float32_conversion,raw_array,36864,6288,5.862595419847328
12,524,explicit_float32_conversion,npy_array_container,36992,6288,5.88295165394402
13,490,actual_numpy_fitted_float64,raw_array,73728,5880,12.538775510204081
13,490,actual_numpy_fitted_float64,npy_array_container,73856,5880,12.560544217687076
13,490,explicit_float32_conversion,raw_array,36864,5880,6.2693877551020405
13,490,explicit_float32_conversion,npy_array_container,36992,5880,6.291156462585034
14,484,actual_numpy_fitted_float64,raw_array,73728,5808,12.694214876033058
14,484,actual_numpy_fitted_float64,npy_array_container,73856,5808,12.71625344352617
14,484,explicit_float32_conversion,raw_array,36864,5808,6.347107438016529
14,484,explicit_float32_conversion,npy_array_container,36992,5808,6.369146005509642
15,480,actual_numpy_fitted_float64,raw_array,73728,5760,12.8
15,480,actual_numpy_fitted_float64,npy_array_container,73856,5760,12.822222222222223
15,480,explicit_float32_conversion,raw_array,36864,5760,6.4
15,480,explicit_float32_conversion,npy_array_container,36992,5760,6.4222222222222225
16,484,actual_numpy_fitted_float64,raw_array,73728,5808,12.694214876033058
16,484,actual_numpy_fitted_float64,npy_array_container,73856,5808,12.71625344352617
16,484,explicit_float32_conversion,raw_array,36864,5808,6.347107438016529
16,484,explicit_float32_conversion,npy_array_container,36992,5808,6.369146005509642
17,466,actual_numpy_fitted_float64,raw_array,73728,5592,13.184549356223176
17,466,actual_numpy_fitted_float64,npy_array_container,73856,5592,13.207439198855507
17,466,explicit_float32_conversion,raw_array,36864,5592,6.592274678111588
17,466,explicit_float32_conversion,npy_array_container,36992,5592,6.61516452074392
18,479,actual_numpy_fitted_float64,raw_array,73728,5748,12.826722338204593
18,479,actual_numpy_fitted_float64,npy_array_container,73856,5748,12.848990953375086
18,479,explicit_float32_conversion,raw_array,36864,5748,6.413361169102297
18,479,explicit_float32_conversion,npy_array_container,36992,5748,6.43562978427279
19,481,actual_numpy_fitted_float64,raw_array,73728,5772,12.773388773388774
19,481,actual_numpy_fitted_float64,npy_array_container,73856,5772,12.795564795564795
19,481,explicit_float32_conversion,raw_array,36864,5772,6.386694386694387
19,481,explicit_float32_conversion,npy_array_container,36992,5772,6.408870408870409
20,485,actual_numpy_fitted_float64,raw_array,73728,5820,12.668041237113401
20,485,actual_numpy_fitted_float64,npy_array_container,73856,5820,12.690034364261168
20,485,explicit_float32_conversion,raw_array,36864,5820,6.334020618556701
20,485,explicit_float32_conversion,npy_array_container,36992,5820,6.356013745704467
21,484,actual_numpy_fitted_float64,raw_array,73728,5808,12.694214876033058
21,484,actual_numpy_fitted_float64,npy_array_container,73856,5808,12.71625344352617
21,484,explicit_float32_conversion,raw_array,36864,5808,6.347107438016529
21,484,explicit_float32_conversion,npy_array_container,36992,5808,6.369146005509642
22,463,actual_numpy_fitted_float64,raw_array,73728,5556,13.269978401727862
22,463,actual_numpy_fitted_float64,npy_array_container,73856,5556,13.293016558675307
22,463,explicit_float32_conversion,raw_array,36864,5556,6.634989200863931
22,463,explicit_float32_conversion,npy_array_container,36992,5556,6.658027357811375
23,443,actual_numpy_fitted_float64,raw_array,73728,5316,13.869074492099323
23,443,actual_numpy_fitted_float64,npy_array_container,73856,5316,13.893152746425883
23,443,explicit_float32_conversion,raw_array,36864,5316,6.934537246049661
23,443,explicit_float32_conversion,npy_array_container,36992,5316,6.958615500376223
24,486,actual_numpy_fitted_float64,raw_array,73728,5832,12.641975308641975
24,486,actual_numpy_fitted_float64,npy_array_container,73856,5832,12.663923182441701
24,486,explicit_float32_conversion,raw_array,36864,5832,6.320987654320987
24,486,explicit_float32_conversion,npy_array_container,36992,5832,6.342935528120713
25,462,actual_numpy_fitted_float64,raw_array,73728,5544,13.2987012987013
25,462,actual_numpy_fitted_float64,npy_array_container,73856,5544,13.321789321789321
25,462,explicit_float32_conversion,raw_array,36864,5544,6.64935064935065
25,462,explicit_float32_conversion,npy_array_container,36992,5544,6.672438672438672
26,483,actual_numpy_fitted_float64,raw_array,73728,5796,12.720496894409937
26,483,actual_numpy_fitted_float64,npy_array_container,73856,5796,12.742581090407178
26,483,explicit_float32_conversion,raw_array,36864,5796,6.3602484472049685
26,483,explicit_float32_conversion,npy_array_container,36992,5796,6.382332643202209
27,481,actual_numpy_fitted_float64,raw_array,73728,5772,12.773388773388774
27,481,actual_numpy_fitted_float64,npy_array_container,73856,5772,12.795564795564795
27,481,explicit_float32_conversion,raw_array,36864,5772,6.386694386694387
27,481,explicit_float32_conversion,npy_array_container,36992,5772,6.408870408870409
28,450,actual_numpy_fitted_float64,raw_array,73728,5400,13.653333333333334
28,450,actual_numpy_fitted_float64,npy_array_container,73856,5400,13.677037037037037
28,450,explicit_float32_conversion,raw_array,36864,5400,6.826666666666667
28,450,explicit_float32_conversion,npy_array_container,36992,5400,6.850370370370371
29,460,actual_numpy_fitted_float64,raw_array,73728,5520,13.356521739130434
29,460,actual_numpy_fitted_float64,npy_array_container,73856,5520,13.379710144927536
29,460,explicit_float32_conversion,raw_array,36864,5520,6.678260869565217
29,460,explicit_float32_conversion,npy_array_container,36992,5520,6.701449275362319
30,475,actual_numpy_fitted_float64,raw_array,73728,5700,12.934736842105263
30,475,actual_numpy_fitted_float64,npy_array_container,73856,5700,12.95719298245614
30,475,explicit_float32_conversion,raw_array,36864,5700,6.467368421052631
30,475,explicit_float32_conversion,npy_array_container,36992,5700,6.489824561403509
31,489,actual_numpy_fitted_float64,raw_array,73728,5868,12.56441717791411
31,489,actual_numpy_fitted_float64,npy_array_container,73856,5868,12.586230402181322
31,489,explicit_float32_conversion,raw_array,36864,5868,6.282208588957055
31,489,explicit_float32_conversion,npy_array_container,36992,5868,6.304021813224267
32,466,actual_numpy_fitted_float64,raw_array,73728,5592,13.184549356223176
32,466,actual_numpy_fitted_float64,npy_array_container,73856,5592,13.207439198855507
32,466,explicit_float32_conversion,raw_array,36864,5592,6.592274678111588
32,466,explicit_float32_conversion,npy_array_container,36992,5592,6.61516452074392
33,472,actual_numpy_fitted_float64,raw_array,73728,5664,13.016949152542374
33,472,actual_numpy_fitted_float64,npy_array_container,73856,5664,13.03954802259887
