qid,benchmark,cluster,section,delta,gold_n,strict_top,tie_top,strict_bot,tie_bot,strict_gap,tie_gap,strict_top_ng,tie_top_ng,strict_bot_ng,tie_bot_ng,strict_gap_ng,tie_gap_ng,min_strict_gap,min_tie_gap
FIX:Q1,FIXTURE,archA,,0.5,2,1.0,2.5,0.0,2.0,1.0,0.5,0.5,1.5,0.0,0.0,0.5,1.5,0.0,0.0
FIX:Q2,FIXTURE,archA,,-0.25,1,2.0,3.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0
FIX:Q3,FIXTURE,archB,demo,0.1,2,1.0,2.5,3.0,2.0,-2.0,0.5,0.5,1.5,3.0,0.0,-2.5,1.5,-3.0,0.0
SYN:c0:q0,SYNTH,syn_c0,,0.04088345782470886,1,10.0,2.0,9.0,2.0,1.0,0.0,10.0,1.0,9.0,1.0,1.0,0.0,1.0,0.0
SYN:c0:q1,SYNTH,syn_c0,,-0.8050748200296279,1,4.0,1.0,7.0,1.0,-3.0,0.0,4.0,0.0,7.0,0.0,-3.0,0.0,-3.0,0.0
SYN:c0:q2,SYNTH,syn_c0,,1.2850480296170819,3,1.0,1.0,5.666666666666667,1.0,-4.666666666666667,0.0,0.0,0.0,4.666666666666667,0.0,-4.666666666666667,0.0,0.0,0.0
SYN:c0:q3,SYNTH,syn_c0,,-0.4587581674099701,1,4.0,2.0,6.0,3.0,-2.0,-1.0,4.0,1.0,6.0,2.0,-2.0,-1.0,-2.0,-1.0
SYN:c0:q4,SYNTH,syn_c0,,1.0020855528194088,1,4.0,2.0,6.0,2.0,-2.0,0.0,4.0,1.0,6.0,1.0,-2.0,0.0,-2.0,0.0
SYN:c0:q5,SYNTH,syn_c0,,0.18706329612934858,1,8.0,3.0,6.0,2.0,2.0,1.0,8.0,2.0,6.0,1.0,2.0,1.0,2.0,1.0
SYN:c1:q0,SYNTH,syn_c1,,0.9056479396079958,1,2.0,3.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0
SYN:c1:q1,SYNTH,syn_c1,,-1.5361335054594591,2,1.5,1.0,2.5,1.5,-1.0,-0.5,1.0,0.0,2.0,0.5,-1.0,-0.5,0.0,-1.0
SYN:c1:q2,SYNTH,syn_c1,,-0.3074760510505785,2,5.0,1.0,5.0,2.0,0.0,-1.0,4.5,0.0,4.5,1.0,0.0,-1.0,-1.0,-1.0
SYN:c1:q3,SYNTH,syn_c1,,-0.9814062628202072,2,4.5,2.0,9.5,1.0,-5.0,1.0,4.0,1.0,9.0,0.0,-5.0,1.0,-8.0,1.0
SYN:c1:q4,SYNTH,syn_c1,,-0.7890185726780661,1,6.0,1.0,2.0,2.0,4.0,-1.0,6.0,0.0,2.0,1.0,4.0,-1.0,4.0,-1.0
SYN:c1:q5,SYNTH,syn_c1,,-1.135008282141373,2,5.5,1.5,7.5,2.0,-2.0,-0.5,5.0,0.5,7.0,1.0,-2.0,-0.5,0.0,-2.0
SYN:c2:q0,SYNTH,syn_c2,,1.1902398411095372,3,7.666666666666667,1.6666666666666667,5.0,2.0,2.666666666666667,-0.33333333333333326,6.666666666666667,0.6666666666666666,4.0,1.0,2.666666666666667,-0.33333333333333337,1.0,2.0
SYN:c2:q1,SYNTH,syn_c2,,1.2088045046565454,2,3.0,1.5,3.5,1.5,-0.5,0.0,2.5,0.5,3.0,0.5,-0.5,0.0,-1.0,0.0
SYN:c2:q2,SYNTH,syn_c2,,2.0804322033595906,1,1.0,3.0,10.0,1.0,-9.0,2.0,1.0,2.0,10.0,0.0,-9.0,2.0,-9.0,2.0
SYN:c2:q3,SYNTH,syn_c2,,-1.093636149668366,1,11.0,1.0,4.0,3.0,7.0,-2.0,11.0,0.0,4.0,2.0,7.0,-2.0,7.0,-2.0
SYN:c2:q4,SYNTH,syn_c2,,0.7884109772843721,3,5.0,1.6666666666666667,6.0,1.3333333333333333,-1.0,0.3333333333333335,4.0,0.6666666666666666,5.0,0.3333333333333333,-1.0,0.3333333333333333,-4.0,2.0
SYN:c2:q5,SYNTH,syn_c2,,-2.6083068662113855,1,3.0,3.0,3.0,2.0,0.0,1.0,3.0,2.0,3.0,1.0,0.0,1.0,0.0,1.0
SYN:c3:q0,SYNTH,syn_c3,,-3.4343082569503176,1,2.0,1.0,7.0,4.0,-5.0,-3.0,2.0,0.0,7.0,3.0,-5.0,-3.0,-5.0,-3.0
SYN:c3:q1,SYNTH,syn_c3,,1.3045138431628052,2,7.5,2.0,6.0,1.5,1.5,0.5,7.0,1.0,5.5,0.5,1.5,0.5,2.0,0.0
SYN:c3:q2,SYNTH,syn_c3,,0.7572595185614897,1,10.0,1.0,5.0,3.0,5.0,-2.0,10.0,0.0,5.0,2.0,5.0,-2.0,5.0,-2.0
SYN:c3:q3,SYNTH,syn_c3,,0.30891413733915785,1,2.0,2.0,5.0,2.0,-3.0,0.0,2.0,1.0,5.0,1.0,-3.0,0.0,-3.0,0.0
SYN:c3:q4,SYNTH,syn_c3,,-0.3346074633319996,1,10.0,2.0,5.0,2.0,5.0,0.0,10.0,1.0,5.0,1.0,5.0,0.0,5.0,0.0
SYN:c3:q5,SYNTH,syn_c3,,-1.7070506208591323,1,6.0,2.0,7.0,3.0,-1.0,-1.0,6.0,1.0,7.0,2.0,-1.0,-1.0,-1.0,-1.0
