axis,mean_var_rank,alone_FR_mean,drop_FR_mean,drop_loss_mean,delta_gold_mean,gold_agree_mean
0,29.972340,0.0065390071,0.5371276596,0.0048475177,0.0659762620,0.5790780142
1,0.070213,0.0077819149,0.5442056738,-0.0022304965,0.1786342400,0.6974822695
2,1.002128,0.0085531915,0.5402907801,0.0016843972,0.2571324806,0.7570212766
3,2.029787,0.0089946809,0.5419751773,0.0000000000,0.2850876103,0.7866312057
4,3.017021,0.0089680851,0.5425141844,-0.0005390071,0.2611733338,0.7627304965
5,3.997872,0.0084769504,0.5415496454,0.0004255319,0.2837109375,0.7873404255
6,4.980851,0.0095265957,0.5431595745,-0.0011843972,0.3000738749,0.8017730496
7,6.048936,0.0096826241,0.5472535461,-0.0052783688,0.3093388741,0.8106382979
8,7.036170,0.0093439716,0.5396453901,0.0023297872,0.2806165355,0.7796453901
9,8.010638,0.0094219858,0.5387517730,0.0032234043,0.2818780766,0.7831914894
10,9.029787,0.0086595745,0.5447375887,-0.0027624113,0.2467455424,0.7491134752
11,10.014894,0.0083652482,0.5391418440,0.0028333333,0.2480841686,0.7478368794
12,11.021277,0.0090797872,0.5413900709,0.0005851064,0.2901039384,0.7924468085
13,12.057447,0.0084148936,0.5486063830,-0.0066312057,0.2183393070,0.7178014184
14,12.970213,0.0094663121,0.5410531915,0.0009219858,0.2601523114,0.7578368794
15,14.046809,0.0095336879,0.5427127660,-0.0007375887,0.2474008796,0.7489716312
16,15.044681,0.0095921986,0.5368297872,0.0051453901,0.2552126635,0.7586170213
17,15.965957,0.0088918440,0.5392978723,0.0026773050,0.2293795534,0.7307092199
18,17.034043,0.0078067376,0.5450921986,-0.0031170213,0.2181445477,0.7200709220
19,18.027660,0.0088031915,0.5379929078,0.0039822695,0.2388372060,0.7430496454
20,18.944681,0.0072003546,0.5421524823,-0.0001773050,0.1958089365,0.7007092199
21,20.046809,0.0089875887,0.5376347518,0.0043404255,0.2487965500,0.7465248227
22,21.019149,0.0080265957,0.5385248227,0.0034503546,0.2026509688,0.7057092199
23,22.025532,0.0083776596,0.5404219858,0.0015531915,0.1844473595,0.6870921986
24,23.023404,0.0081914894,0.5421702128,-0.0001950355,0.1959860860,0.6952127660
25,23.934043,0.0081542553,0.5376648936,0.0043102837,0.2145318638,0.7169858156
26,25.021277,0.0080797872,0.5375549645,0.0044202128,0.2063562605,0.7073404255
27,25.955319,0.0087127660,0.5353439716,0.0066312057,0.1986152253,0.7048581560
28,27.034043,0.0081134752,0.5405354610,0.0014397163,0.1924706999,0.6954609929
