conv_id,method,seed,N_archive,unique_code_fraction,duplicate_code_fraction,largest_collision_bucket,bit_occupancy_mean,bit_occupancy_min,bit_occupancy_max,dead_bits
locomo_0,NATIVE_SIGN96,,419,1.0,0.0,1,0.4958979713603819,0.45346062052505964,0.5322195704057279,0
locomo_0,HAAR96_SIGN,43001.0,419,1.0,0.0,1,0.49758850437549723,0.4486873508353222,0.5441527446300716,0
locomo_0,HAAR96_SIGN,43002.0,419,1.0,0.0,1,0.5054445107398569,0.45823389021479716,0.5656324582338902,0
locomo_0,HAAR96_SIGN,43003.0,419,1.0,0.0,1,0.49811058074781217,0.4510739856801909,0.5369928400954654,0
locomo_0,HAAR96_SIGN,43004.0,419,1.0,0.0,1,0.4997265314240254,0.4606205250596659,0.5393794749403341,0
locomo_0,HAAR96_SIGN,43005.0,419,1.0,0.0,1,0.5008204057279236,0.45584725536992843,0.5441527446300716,0
locomo_0,ITQ96_CENTERED,101.0,419,1.0,0.0,1,0.49915473349244227,0.45823389021479716,0.5346062052505967,0
locomo_0,ITQ96_CENTERED,202.0,419,1.0,0.0,1,0.4996022275258552,0.45823389021479716,0.5322195704057279,0
locomo_0,ITQ96_CENTERED,303.0,419,1.0,0.0,1,0.5006712410501194,0.47255369928400953,0.5417661097852029,0
locomo_0,ITQ96_CENTERED,404.0,419,1.0,0.0,1,0.49940334128878283,0.45823389021479716,0.522673031026253,0
locomo_0,ITQ96_CENTERED,505.0,419,1.0,0.0,1,0.4992293158313444,0.4510739856801909,0.5298329355608592,0
locomo_1,NATIVE_SIGN96,,369,1.0,0.0,1,0.49703590785907864,0.4037940379403794,0.6070460704607046,0
locomo_1,HAAR96_SIGN,43001.0,369,1.0,0.0,1,0.4973746612466125,0.45528455284552843,0.5528455284552846,0
locomo_1,HAAR96_SIGN,43002.0,369,1.0,0.0,1,0.49946364046973796,0.45528455284552843,0.5474254742547425,0
locomo_1,HAAR96_SIGN,43003.0,369,1.0,0.0,1,0.4996894760614273,0.44986449864498645,0.5447154471544715,0
locomo_1,HAAR96_SIGN,43004.0,369,1.0,0.0,1,0.5009033423667569,0.43360433604336046,0.5338753387533876,0
locomo_1,HAAR96_SIGN,43005.0,369,1.0,0.0,1,0.5000846883468835,0.46070460704607047,0.5392953929539296,0
locomo_1,ITQ96_CENTERED,101.0,369,1.0,0.0,1,0.5006492773261065,0.46612466124661245,0.5392953929539296,0
locomo_1,ITQ96_CENTERED,202.0,369,1.0,0.0,1,0.5009880307136404,0.4742547425474255,0.5474254742547425,0
locomo_1,ITQ96_CENTERED,303.0,369,1.0,0.0,1,0.5025971093044264,0.4715447154471545,0.5365853658536586,0
locomo_1,ITQ96_CENTERED,404.0,369,1.0,0.0,1,0.50073396567299,0.4634146341463415,0.5447154471544715,0
locomo_1,ITQ96_CENTERED,505.0,369,1.0,0.0,1,0.5012420957542908,0.46883468834688347,0.5392953929539296,0
locomo_2,NATIVE_SIGN96,,663,1.0,0.0,1,0.49824032176973354,0.4132730015082956,0.5656108597285068,0
locomo_2,HAAR96_SIGN,43001.0,663,1.0,0.0,1,0.49789467068878834,0.46304675716440424,0.5399698340874811,0
locomo_2,HAAR96_SIGN,43002.0,663,1.0,0.0,1,0.501728255404726,0.4555052790346908,0.5520361990950227,0
locomo_2,HAAR96_SIGN,43003.0,663,1.0,0.0,1,0.49871166415284063,0.4555052790346908,0.5279034690799397,0
locomo_2,HAAR96_SIGN,43004.0,663,1.0,0.0,1,0.4993086978381096,0.46153846153846156,0.5324283559577677,0
locomo_2,HAAR96_SIGN,43005.0,663,1.0,0.0,1,0.5000471342383107,0.46003016591251883,0.5339366515837104,0
locomo_2,ITQ96_CENTERED,101.0,663,1.0,0.0,1,0.49970148315736546,0.4766214177978884,0.5294117647058824,0
locomo_2,ITQ96_CENTERED,202.0,663,1.0,0.0,1,0.4984288587229764,0.4720965309200603,0.5233785822021116,0
locomo_2,ITQ96_CENTERED,303.0,663,1.0,0.0,1,0.5001099798893917,0.4720965309200603,0.5279034690799397,0
locomo_2,ITQ96_CENTERED,404.0,663,1.0,0.0,1,0.49924585218702866,0.4766214177978884,0.5279034690799397,0
locomo_2,ITQ96_CENTERED,505.0,663,1.0,0.0,1,0.5008169934640523,0.4781297134238311,0.5233785822021116,0
locomo_3,NATIVE_SIGN96,,629,0.9984101748807631,0.0015898251192368873,2,0.50043057763646,0.44038155802861684,0.6788553259141494,0
locomo_3,HAAR96_SIGN,43001.0,629,0.9984101748807631,0.0015898251192368873,2,0.5031134075251722,0.4642289348171701,0.548489666136725,0
locomo_3,HAAR96_SIGN,43002.0,629,0.9984101748807631,0.0015898251192368873,2,0.49932101218865926,0.4546899841017488,0.534181240063593,0
locomo_3,HAAR96_SIGN,43003.0,629,1.0,0.0,1,0.5026165871754107,0.4610492845786963,0.5548489666136724,0
locomo_3,HAAR96_SIGN,43004.0,629,1.0,0.0,1,0.5007286698463168,0.4546899841017488,0.5532591414944356,0
locomo_3,HAAR96_SIGN,43005.0,629,0.9984101748807631,0.0015898251192368873,2,0.4992547694753577,0.4546899841017488,0.5405405405405406,0
locomo_3,ITQ96_CENTERED,101.0,629,0.9936406995230525,0.006359300476947549,3,0.5000662427133015,0.46740858505564387,0.5278219395866455,0
locomo_3,ITQ96_CENTERED,202.0,629,0.9936406995230525,0.006359300476947549,3,0.500993640699523,0.46899841017488075,0.5278219395866455,0
locomo_3,ITQ96_CENTERED,303.0,629,0.9936406995230525,0.006359300476947549,3,0.4985260996290408,0.46740858505564387,0.534181240063593,0
locomo_3,ITQ96_CENTERED,404.0,629,0.9952305246422893,0.004769475357710662,3,0.5015235824059353,0.4546899841017488,0.5310015898251192,0
locomo_3,ITQ96_CENTERED,505.0,629,0.9920508744038156,0.007949125596184436,3,0.500132485426603,0.47217806041335453,0.5246422893481717,0
locomo_4,NATIVE_SIGN96,,680,1.0,0.0,1,0.5001378676470588,0.45,0.6426470588235295,0
locomo_4,HAAR96_SIGN,43001.0,680,1.0,0.0,1,0.5011642156862745,0.45294117647058824,0.5294117647058824,0
locomo_4,HAAR96_SIGN,43002.0,680,1.0,0.0,1,0.5021292892156862,0.45588235294117646,0.5323529411764706,0
locomo_4,HAAR96_SIGN,43003.0,680,1.0,0.0,1,0.5004289215686274,0.47058823529411764,0.5529411764705883,0
locomo_4,HAAR96_SIGN,43004.0,680,1.0,0.0,1,0.4996783088235294,0.4676470588235294,0.5455882352941176,0
locomo_4,HAAR96_SIGN,43005.0,680,1.0,0.0,1,0.4997549019607843,0.4602941176470588,0.5323529411764706,0
locomo_4,ITQ96_CENTERED,101.0,680,1.0,0.0,1,0.5000459558823529,0.4661764705882353,0.5338235294117647,0
locomo_4,ITQ96_CENTERED,202.0,680,1.0,0.0,1,0.5013020833333334,0.4823529411764706,0.5367647058823529,0
locomo_4,ITQ96_CENTERED,303.0,680,1.0,0.0,1,0.49954044117647056,0.46911764705882353,0.5308823529411765,0
locomo_4,ITQ96_CENTERED,404.0,680,1.0,0.0,1,0.4996783088235294,0.4661764705882353,0.5279411764705882,0
locomo_4,ITQ96_CENTERED,505.0,680,1.0,0.0,1,0.5006127450980392,0.47205882352941175,0.5367647058823529,0
locomo_5,NATIVE_SIGN96,,675,1.0,0.0,1,0.5012345679012346,0.44592592592592595,0.6,0
locomo_5,HAAR96_SIGN,43001.0,675,1.0,0.0,1,0.5014969135802468,0.46814814814814815,0.5496296296296296,0
locomo_5,HAAR96_SIGN,43002.0,675,1.0,0.0,1,0.5021604938271604,0.45925925925925926,0.5451851851851852,0
locomo_5,HAAR96_SIGN,43003.0,675,1.0,0.0,1,0.4977777777777777,0.4666666666666667,0.5422222222222223,0
locomo_5,HAAR96_SIGN,43004.0,675,1.0,0.0,1,0.5016975308641975,0.45925925925925926,0.5392592592592592,0
locomo_5,HAAR96_SIGN,43005.0,675,1.0,0.0,1,0.49973765432098766,0.4577777777777778,0.5333333333333333,0
locomo_5,ITQ96_CENTERED,101.0,675,1.0,0.0,1,0.4976388888888889,0.4562962962962963,0.5274074074074074,0
locomo_5,ITQ96_CENTERED,202.0,675,1.0,0.0,1,0.49830246913580245,0.4711111111111111,0.5303703703703704,0
locomo_5,ITQ96_CENTERED,303.0,675,1.0,0.0,1,0.5001388888888889,0.4725925925925926,0.5288888888888889,0
locomo_5,ITQ96_CENTERED,404.0,675,1.0,0.0,1,0.5014814814814815,0.4740740740740741,0.5348148148148149,0
locomo_5,ITQ96_CENTERED,505.0,675,1.0,0.0,1,0.49973765432098766,0.47555555555555556,0.5274074074074074,0
locomo_6,NATIVE_SIGN96,,689,0.9985486211901307,0.0014513788098693414,2,0.49587264150943394,0.23947750362844702,0.5442670537010159,0
locomo_6,HAAR96_SIGN,43001.0,689,0.9985486211901307,0.0014513788098693414,2,0.49789852443154325,0.4629898403483309,0.5283018867924528,0
locomo_6,HAAR96_SIGN,43002.0,689,0.9985486211901307,0.0014513788098693414,2,0.4995010885341074,0.46589259796806964,0.5413642960812772,0
locomo_6,HAAR96_SIGN,43003.0,689,0.9985486211901307,0.0014513788098693414,2,0.5018444605708757,0.4702467343976778,0.5341074020319303,0
locomo_6,HAAR96_SIGN,43004.0,689,0.9985486211901307,0.0014513788098693414,2,0.49934990324141265,0.45718432510885343,0.5312046444121916,0
locomo_6,HAAR96_SIGN,43005.0,689,0.9985486211901307,0.0014513788098693414,2,0.49782293178519593,0.45573294629898403,0.5413642960812772,0
locomo_6,ITQ96_CENTERED,101.0,689,0.9985486211901307,0.0014513788098693414,2,0.5001663038219643,0.4746008708272859,0.5297532656023222,0
locomo_6,ITQ96_CENTERED,202.0,689,0.9985486211901307,0.0014513788098693414,2,0.49684022738268024,0.46589259796806964,0.5268505079825835,0
locomo_6,ITQ96_CENTERED,303.0,689,0.9985486211901307,0.0014513788098693414,2,0.5019956458635704,0.4746008708272859,0.5297532656023222,0
locomo_6,ITQ96_CENTERED,404.0,689,0.9985486211901307,0.0014513788098693414,2,0.49984881470730524,0.46589259796806964,0.5384615384615384,0
