folder_path,name,id,mimeType,size,modifiedTime
(My Drive root),autogenesis-meta,1weLXROsx7hysUXDqj8bqwRXjk-F0l5df,application/vnd.google-apps.folder,,2026-08-24T20:06:27.383Z
(My Drive root),autogenesis-meta_guncellemeler_2026-08-24,1JJtfG-LQu8kmfm415GfgWQ4V_1t26dXn,application/vnd.google-apps.folder,,2026-08-24T20:44:16.475Z
(My Drive root),Collatz Problemi — Araştırma Arşivi,1mRJGjUsali3eOYtRyMnvO19afK_M4SY5,application/vnd.google-apps.folder,,2026-08-28T09:33:47.653Z
(My Drive root),Corex_MII,18VcPHn2uDc7N8GCv3-TUFl8TF8Cs2f7DZzYXh17NCoE,application/vnd.google-apps.document,3170,2026-08-15T16:08:55.215Z
(My Drive root),CP20_PUBLICATION_FACTOR_PRESSURE_V1_2026-09-04,19y_ZYCGCL8wEn3WkruQOkCuVlxnYwaaE,application/vnd.google-apps.folder,,2026-09-04T09:34:00.695Z
(My Drive root),CP20_TASK8B2_HEAD_RESEARCHER_DEEP_ANALYSIS_V3_TERRAS_WANG_CRITICAL_STOPPING_2026-08-28,1Rwfq-6xsJXrvbGRA-sy-SjEDMf1IICenK5e1jJwCuR4,application/vnd.google-apps.document,3820,2026-08-27T21:47:29.921Z
(My Drive root),CP20_TASK8B3_E2_STRUCTURED_PRIMITIVE_RESONANCE_ASYMPTOTIC_FALSIFICATION_PROMPT_2026-08-29,12igKVeH8ysohQ2pHmwWezOhY4KbOP0oJXsYP_4-BFWo,application/vnd.google-apps.document,3898,2026-08-28T21:21:10.544Z
(My Drive root),CP20_TASK8B3_E3_QUASIPERIODIC_CRITICAL_RAY_TRANSFER_PROMPT_2026-08-30,1oay0CIfyZfvml0e7d-5IP7ozP3u7XSn3JnFTyN2F1cw,application/vnd.google-apps.document,3784,2026-08-30T19:36:58.374Z
(My Drive root),DEHB TESTI,1Jir9KwanMCzYFEKIjcRI7bIsEGVYzHe3gisG4Em7L6E,application/vnd.google-apps.document,4549,2026-08-15T16:09:33.872Z
(My Drive root),FUNCTION_PRESERVING_QUANTIZATION_RESEARCH_CHECKPOINT_2026-08-24,1e-BJkm9FKJUIJOZmnDybO2DaSGu2dPa5,application/vnd.google-apps.folder,,2026-08-24T20:27:01.497Z
(My Drive root),ilide.info-adhd-test-diva-5-0-pr_25c802ae6fc789da833b16c7e48a8064.en.tr.pdf,1y79WQUMvgHfyhDlgm6sEnm0SlTwjKSeP,application/pdf,591111,2026-02-18T15:48:20.000Z
(My Drive root),ilide.info-adhd-test-diva-5-0-pr_25c802ae6fc789da833b16c7e48a8064.pdf,1D9N0PUS-5nc498c5m9ItC9h5qWE3ETYy,application/pdf,279333,2026-02-18T15:47:32.000Z
(My Drive root),ilide.info-diva-2-0-yetis-kinlerde-dehb-i-c-in-tansal-go-ru-s-me-tu-rkc-e-d-iagnostisch-i--pr_4a1b347b6c6a12285cf030fc98109587.pdf,1wrKmH-vt7DQVxhDxCJgfaPq9u2ATyvpU,application/pdf,951483,2026-02-18T14:33:58.000Z
(My Drive root),LLM_TOKEN_ZIP_RESEARCH_MASTER,1uM2bLBC3XQmvbdkTpjhvR6_N6OO7Qyxv,application/vnd.google-apps.folder,,
(My Drive root),PHASE_C0V9_PREINTERACTION_PROGRESS_CHECKPOINT_2026-08-22.zip,1_lF9qwH8ShVUGqPgIdvBWV3xatLCyJA1,application/zip,33841,2026-08-22T17:19:46.072Z
(My Drive root),PROJECT_AUTOGENESIS,1CLm7sbHoQNGK_SnQkRRaS4GJFh88DGJV,application/vnd.google-apps.folder,,2026-08-15T15:35:14.588Z
(My Drive root),PROJECT_AUTOGENESIS_MASTER_PROGRESS_LEDGER_2026-08-22.json,1jemMogON3H85yXr6hUp_HnzDwNjT9MR_,application/json,4910,2026-08-22T17:19:39.744Z
(My Drive root),Riemann Hipotezi — Araştırma Arşivi,1mWXHPt5nZEAxToZQO-4aDQ65lqlOdgix,application/vnd.google-apps.folder,,2026-08-15T15:18:31.745Z
(My Drive root),Screenshot_2.png,15c662wdDqMYl9NWF2xhbd_LeAS_mGIZj,image/png,97616,2026-02-20T11:26:42.000Z
(My Drive root),tampermonkey-backup-chrome-2026-07-23T19-06-58-379Z.txt,1je2SkZVbRyP5lzBR_KaVgMu0cUlj6wwt,text/plain,97380,2026-07-23T19:07:00.000Z
(My Drive root),X BOT,10rAe8fnFI8kkRvQce2I1N2St9IC47MKTEH4V1t12T0DUQ72zziH377aI,application/vnd.google-apps.script,,2026-03-13T19:44:11.126Z
(My Drive root),X Kuyruk Veritabanı,1bLVLfErjx4C6Cyc0b5o_cgEQVXWYif06ryKIXBSjOJ8,application/vnd.google-apps.spreadsheet,3109,2026-03-13T20:31:17.856Z
(Trash),Adsız doküman,1ctwJux6wE7jx72DSKGuiyXTCgH8YlarQzuBKTEdyXuo,application/vnd.google-apps.document,1024,2026-07-06T13:14:35.462Z
(Trash),Adsız doküman,1KG5fjEU-TOHNSeTdkX7uEQOQljGr2JAJGwk9EEAPUQ8,application/vnd.google-apps.document,1024,2026-06-30T12:30:57.183Z
(Trash),Adsız doküman,1FiRfzJqP0AMTDJ2y9nmmLdQzOtceXnuYw1XjmbRtxIM,application/vnd.google-apps.document,29226,2026-06-30T07:25:58.336Z
(Trash),Adsız doküman,1_-oWLsCiZLds214MNX4nQ5rpfI9YPiQ9YYRgo_MF2ss,application/vnd.google-apps.document,1024,2026-02-23T07:50:57.799Z
(Trash),Adsız doküman,1v-twICRcDGxfZQTUS-U9b-1LzZDTZ5-0adr7h24coxs,application/vnd.google-apps.document,1024,2026-02-07T11:46:25.504Z
(Trash),Adsız doküman,1LV_OTQGTTcOkLNL1xjxh8F5kN-K-tQAnDgoEO-e2lac,application/vnd.google-apps.document,2495,2025-12-04T12:52:16.726Z
(Trash),Input :,1lkWpQlQPtudVVl2Fu1BMXoAuu9ej9_iwka_M6GJPXbI,application/vnd.google-apps.document,85705,2026-03-05T07:45:03.501Z
(outside llmzip tree),09_C0V9_MEASUREMENT_FINAL_2026-08-22,1bUSSEG8J_bAGKtluCUjRRsaFwAckMrfw,application/vnd.google-apps.folder,,2026-08-22T17:31:02.384Z
