distribution,n,data_seed,initialization_seed,iterations,converged,stop_reason,cap_hit,initial_objective_mean,final_objective_mean,initial_objective_sum,final_objective_sum,relative_training_objective_reduction,orthogonality_frobenius_error,monotonicity_violations,positive_half_step_increases_within_tolerance,largest_positive_half_step_increase,exact_zero_projection_entries_over_observed_steps,elapsed_seconds,data_sha256,initial_rotation_sha256,final_rotation_sha256,final_binary_codes_sha256
gaussian,100,5212100,7312001,11,True,relative_objective_stable_5,False,0.40303494737337664,0.15444087334881323,3869.1354947844156,1482.6323841486071,0.6168052563299498,2.601426449589915e-14,0,0,0.0,0,0.0235072000650689,89f7d1b3dd8b554c5b8e6e088ae0af98f91818f82b0bdd1f1d91eadb8b25aaa2,29d7236dfa0c7782784c0713c0010d5960193f97d12cb4e6272a316c5a840880,4fd1bc937b7f0dbdc5376242b86c30554c0910c0006943b1946d5e0031f2d658,3b1f33ed649a5bf081292168d1cf80ec30030477ddc28677e23c390b3af0c11c
gaussian,100,5212100,7312002,13,True,relative_objective_stable_5,False,0.4016034661610799,0.15055844165460905,3855.393275146367,1445.3610398842468,0.6251067175943613,2.6976327614843876e-14,0,0,0.0,0,0.02385110000614077,89f7d1b3dd8b554c5b8e6e088ae0af98f91818f82b0bdd1f1d91eadb8b25aaa2,09c16380acd86ba0f5983001666952c1fe8cc07a623513c77b920059db08d699,f118d920e87fead8be16253ea761dd0377bb7874eefac5b6229e6aaae1a7e00e,4146df3dc3c0026b1bc0da118b216e1c0ab7598eb404202eaa6e31a59c1b24b7
gaussian,100,5212100,7312003,16,True,relative_objective_stable_5,False,0.40639682355353274,0.14921456997334212,3901.409506113914,1432.4598717440845,0.6328352946545933,2.7126005977835116e-14,0,0,0.0,0,0.029564199969172478,89f7d1b3dd8b554c5b8e6e088ae0af98f91818f82b0bdd1f1d91eadb8b25aaa2,87a5f1d6c00a09a058c0d77476edcc7307fa38209378932833f628623c5e6694,6bba45839896456339eeeb90d0d944a126b1c3a2ad9a26f3960bf8fe4d680813,d646cceab4e609dd456cbb16dbb34947b948c307737473aec0657235f0c11130
gaussian,100,5212100,7312004,11,True,relative_objective_stable_5,False,0.407103966811144,0.14822565866096155,3908.1980813869827,1422.966323145231,0.6359022000644774,2.5112418678449636e-14,0,0,0.0,0,0.020919100032188,89f7d1b3dd8b554c5b8e6e088ae0af98f91818f82b0bdd1f1d91eadb8b25aaa2,c02b50b360df6e448a4d0cfaa3a8025c5530cf04f1299e5c0f6d42ecc7845d09,5831d16e12b52513b287bbf1a78e7ec73a0ebabfff5e1b0739df50edbee6ae1e,f88b9d312b8b47834305b8289592cd7875893af06a306cb507546f3cba6983d5
gaussian,100,5212100,7312005,14,True,relative_objective_stable_5,False,0.396873375381025,0.14627811381463843,3809.98440365784,1404.269892620529,0.6314237162565978,2.8116043280451427e-14,0,0,0.0,0,0.02864080003928393,89f7d1b3dd8b554c5b8e6e088ae0af98f91818f82b0bdd1f1d91eadb8b25aaa2,6f239c7798ac2175ffea3d35a05164a1e8a997b58af62e007ee07e5ef9483fe5,cdfa05fc22af13c2219474d3d2bd8241952fdd768ab783a86c85a4cd186916ca,dc95edaf03674de0a27444b48ee2d32e2789ce04b40acffbcfec82f7792d0d92
gaussian,100,5212100,7312006,12,True,relative_objective_stable_5,False,0.4035086107649037,0.1543074481388743,3873.6826633430755,1481.3515021331932,0.6175857366553734,2.641659890935573e-14,0,0,0.0,0,0.02580189995933324,89f7d1b3dd8b554c5b8e6e088ae0af98f91818f82b0bdd1f1d91eadb8b25aaa2,dd16d4749df3a595fab6783363274f825c98a4a46db8d30cfb8d51e20f32fc61,c0cf7da6be91b6f7479b6ecf16009639a6ad05f3d199cbdad124ef631d77f3e8,5a46ec898145848b095517a4a3f72c2c01cb9364899b0701ec994abd1e516047
gaussian,100,5212100,7312007,11,True,relative_objective_stable_5,False,0.4027450192010409,0.15218969529647444,3866.3521843299927,1461.0210748461545,0.6221189883405985,2.52039838071737e-14,0,0,0.0,0,0.022872300003655255,89f7d1b3dd8b554c5b8e6e088ae0af98f91818f82b0bdd1f1d91eadb8b25aaa2,fb6648a9b1aff69dc7787f7620959882aa42044aab171e5a030cf863501c7fac,85b505480e02f107a6ab6b8d8cc0d22f619297702dfe189bd831ee24956098b3,e1e61e66bee423322675a885ba9f95a71e7539517390bef9ffef9ea5d593d7b1
gaussian,100,5212100,7312008,13,True,relative_objective_stable_5,False,0.4003096427362487,0.1494541945964918,3842.9725702679875,1434.7602681263213,0.626653523570097,2.8152053468759626e-14,0,0,0.0,0,0.02991799998562783,89f7d1b3dd8b554c5b8e6e088ae0af98f91818f82b0bdd1f1d91eadb8b25aaa2,ab9752160b0ea100d782e061c518e1853cea6bf2019ba0c47704cba1002f6ddf,6552e8123c8f7a3d666efd939d71dbfa4f5c28172e9684b6bee6bc2996cc2008,d050b1c599db9b2f588dc1887cd412eb7262ef63f56e556583662b9b31140e92
gaussian,100,5212100,7312009,10,True,relative_objective_stable_5,False,0.4042288690477691,0.14845173185193833,3880.5971428585835,1425.136625778608,0.6327532662334533,2.6969282562981292e-14,0,0,0.0,0,0.019786100019700825,89f7d1b3dd8b554c5b8e6e088ae0af98f91818f82b0bdd1f1d91eadb8b25aaa2,03147f63aa4bf97b1f8b3ce584aa208fa04a24579e8d8e1a1de39df57b410e6d,832e600cca617190ce569aba1a49e4155412af2290f7ac07cbfb12d063c8686a,e5271d80dce2643288c659a048db7e9005b4a488e6f0ccdc3cc09e70a6cb2dba
gaussian,100,5212100,7312010,13,True,relative_objective_stable_5,False,0.400286368877216,0.14365329916856667,3842.749141221274,1379.07167201824,0.6411236796009135,2.802427683257031e-14,0,0,0.0,0,0.025138800032436848,89f7d1b3dd8b554c5b8e6e088ae0af98f91818f82b0bdd1f1d91eadb8b25aaa2,14f35ce06927678a59dd59d26a9724389a485cc3dffc963bcac4046bae766a34,651f4e0966958612d7d23c1ff164decccb7763c9f0a9664b98fffb31d807a4b2,b5e88a3bf7634d8c438966583f79b779344e858036c6ae91ecfe2facb785320a
