conv_id,seed,hamming_distances_exact,rank_top3_exact_all_questions_trials,metrics_exact_implied_by_identical_top3,status
locomo_0,43001,1,1,1,PASS
locomo_0,43002,1,1,1,PASS
locomo_0,43003,1,1,1,PASS
locomo_0,43004,1,1,1,PASS
locomo_0,43005,1,1,1,PASS
locomo_1,43001,1,1,1,PASS
locomo_1,43002,1,1,1,PASS
locomo_1,43003,1,1,1,PASS
locomo_1,43004,1,1,1,PASS
locomo_1,43005,1,1,1,PASS
locomo_2,43001,1,1,1,PASS
locomo_2,43002,1,1,1,PASS
locomo_2,43003,1,1,1,PASS
locomo_2,43004,1,1,1,PASS
locomo_2,43005,1,1,1,PASS
locomo_3,43001,1,1,1,PASS
locomo_3,43002,1,1,1,PASS
locomo_3,43003,1,1,1,PASS
locomo_3,43004,1,1,1,PASS
locomo_3,43005,1,1,1,PASS
locomo_4,43001,1,1,1,PASS
locomo_4,43002,1,1,1,PASS
locomo_4,43003,1,1,1,PASS
locomo_4,43004,1,1,1,PASS
locomo_4,43005,1,1,1,PASS
locomo_5,43001,1,1,1,PASS
locomo_5,43002,1,1,1,PASS
locomo_5,43003,1,1,1,PASS
locomo_5,43004,1,1,1,PASS
locomo_5,43005,1,1,1,PASS
locomo_6,43001,1,1,1,PASS
locomo_6,43002,1,1,1,PASS
locomo_6,43003,1,1,1,PASS
locomo_6,43004,1,1,1,PASS
locomo_6,43005,1,1,1,PASS
locomo_7,43001,1,1,1,PASS
locomo_7,43002,1,1,1,PASS
locomo_7,43003,1,1,1,PASS
locomo_7,43004,1,1,1,PASS
locomo_7,43005,1,1,1,PASS
locomo_8,43001,1,1,1,PASS
locomo_8,43002,1,1,1,PASS
locomo_8,43003,1,1,1,PASS
locomo_8,43004,1,1,1,PASS
locomo_8,43005,1,1,1,PASS
locomo_9,43001,1,1,1,PASS
locomo_9,43002,1,1,1,PASS
locomo_9,43003,1,1,1,PASS
locomo_9,43004,1,1,1,PASS
locomo_9,43005,1,1,1,PASS
