benchmark,n_queries,arm/method,metric,value,source_file,status,notes
PerLTQA,8265,sign96,Hit@10,0.7568,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,re-derived this session from 9440 raw per-query rows; matches baseline/REPORT.md at 4dp
PerLTQA,8265,sign96,Recall@10,0.6182,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,re-derived this session; matches baseline/REPORT.md at 4dp
PerLTQA,8265,sign96,nDCG@10,0.4907,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,re-derived this session; matches baseline/REPORT.md at 4dp
PerLTQA,8265,sign96,expected-Hit@10,0.7576,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,exact uniform-tie expectation; re-derived this session
PerLTQA,8265,float_raw,Hit@10,0.8081,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,re-derived this session from 9440 raw per-query rows; matches baseline/REPORT.md at 4dp
PerLTQA,8265,float_raw,Recall@10,0.7095,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,re-derived this session; matches baseline/REPORT.md at 4dp
PerLTQA,8265,float_raw,nDCG@10,0.5822,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,re-derived this session; matches baseline/REPORT.md at 4dp
PerLTQA,8265,float_raw,expected-Hit@10,0.8081,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,exact uniform-tie expectation; re-derived this session
PerLTQA,8265,float_std,Hit@10,0.8396,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,re-derived this session from 9440 raw per-query rows; matches baseline/REPORT.md at 4dp
PerLTQA,8265,float_std,Recall@10,0.7024,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,re-derived this session; matches baseline/REPORT.md at 4dp
PerLTQA,8265,float_std,nDCG@10,0.5775,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,re-derived this session; matches baseline/REPORT.md at 4dp
PerLTQA,8265,float_std,expected-Hit@10,0.8396,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,exact uniform-tie expectation; re-derived this session
PerLTQA,8265,asym,Hit@10,0.8019,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,re-derived this session from 9440 raw per-query rows; matches baseline/REPORT.md at 4dp
PerLTQA,8265,asym,Recall@10,0.676,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,re-derived this session; matches baseline/REPORT.md at 4dp
PerLTQA,8265,asym,nDCG@10,0.5466,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,re-derived this session; matches baseline/REPORT.md at 4dp
PerLTQA,8265,asym,expected-Hit@10,0.8019,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,exact uniform-tie expectation; re-derived this session
PerLTQA,8265,sign96/float_raw,FR@3-replay-max-dev,0.0,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,historical SIGN/FLOAT FR@3 replay gate: max |fr3-ctrl| = 0.0 (tol 1e-12) -> PASS
LME,470,sign96,Hit@10,0.8638,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,re-derived this session from 9440 raw per-query rows; matches baseline/REPORT.md at 4dp
LME,470,sign96,Recall@10,0.7626,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/baseline/per_query_top10.jsonl,VERIFIED,re-derived this session; matches baseline/REPORT.md at 4dp
